,num_comments,num_reactions,num_shares,page_id,post_id
0,49,654,43,491309534239885,491309534239885_1434882933215869
1,1326,10263,4374,491309534239885,491309534239885_1430366870334142
2,97,1768,177,491309534239885,491309534239885_1422202777817218
3,64,2699,1141,491309534239885,491309534239885_1417748021596027
4,49,1440,118,491309534239885,491309534239885_1414602848577211
5,12,598,11,491309534239885,491309534239885_1408867675817395
6,17,319,5,491309534239885,491309534239885_1405478506156312
7,58,867,72,491309534239885,491309534239885_1402358533134976
8,10,348,6,491309534239885,491309534239885_1401260713244758
9,14,713,42,491309534239885,491309534239885_1399897003381129
10,38,324,1,491309534239885,491309534239885_1398879046816258
11,15,451,22,491309534239885,491309534239885_1398298286874334
12,58,1441,230,491309534239885,491309534239885_1397477373623092
13,26,717,38,491309534239885,491309534239885_1395963550441141
14,16,330,6,491309534239885,491309534239885_1393428027361360
15,24,873,40,491309534239885,491309534239885_1392060714164758
16,31,744,129,491309534239885,491309534239885_1384706098233553
17,18,652,41,491309534239885,491309534239885_1383111625059667
18,37,564,48,491309534239885,491309534239885_1381131768590986
19,48,1036,81,491309534239885,491309534239885_1375920992445397
20,22,886,42,491309534239885,491309534239885_1371762372861259
21,27,566,54,491309534239885,491309534239885_1369142053123291
22,22,255,28,491309534239885,491309534239885_1361834780520685
23,68,1413,354,491309534239885,491309534239885_1359578034079693
