,num_comments,num_reactions,num_shares,page_id,post_id
0,3,83,17,427521930787483,427521930787483_711255732414100
1,0,35,5,427521930787483,427521930787483_710086859197654
2,27,617,59,427521930787483,427521930787483_706593646213642
3,1,649,17,427521930787483,427521930787483_704649706408036
4,8,162,5,427521930787483,427521930787483_703849036488103
5,11,320,13,427521930787483,427521930787483_703416639864676
6,5,1050,24,427521930787483,427521930787483_702341979972142
7,3,118,2,427521930787483,427521930787483_699009273638746
8,0,471,1,427521930787483,427521930787483_693640384175635
9,31,361,44,427521930787483,427521930787483_690493444490329
10,0,21,2,427521930787483,427521930787483_688223511383989
11,0,30,1,427521930787483,427521930787483_687840181422322
12,0,11,1,427521930787483,427521930787483_687460611460279
13,1,358,2,427521930787483,427521930787483_685229178350089
14,1,57,1,427521930787483,427521930787483_683554565184217
15,23,2403,46,427521930787483,427521930787483_682390748633932
16,121,246,87,427521930787483,427521930787483_682315131974827
17,7,707,22,427521930787483,427521930787483_680133902192950
