,num_comments,num_reactions,num_shares,page_id,post_id
0,651,1894,573,387766624666267,387766624666267_1376755972433989
1,8,123,8,387766624666267,387766624666267_1374997329276520
2,362,1988,287,387766624666267,387766624666267_1374923529283900
3,77,798,73,387766624666267,387766624666267_1374817382627848
4,116,742,97,387766624666267,387766624666267_1373986069377646
5,80,895,105,387766624666267,387766624666267_1371546919621561
6,103,1780,97,387766624666267,387766624666267_1371112506331669
7,712,2209,620,387766624666267,387766624666267_1370208803088706
8,53,940,37,387766624666267,387766624666267_1369182373191349
9,46,318,33,387766624666267,387766624666267_1366058700170383
10,1071,3334,1025,387766624666267,387766624666267_1363655507077369
11,411,1311,300,387766624666267,387766624666267_1358277920948461
12,1299,3652,1430,387766624666267,387766624666267_1355069491269304
13,57,633,77,387766624666267,387766624666267_1354137554695831
14,126,990,108,387766624666267,387766624666267_1352616944847892
15,330,1202,250,387766624666267,387766624666267_1352449908197929
16,23,320,7,387766624666267,387766624666267_1352362011540052
17,20,23403,101,387766624666267,387766624666267_1350882471688006
18,64,443,59,387766624666267,387766624666267_1348707761905477
19,324,1733,289,387766624666267,387766624666267_1348083801967873
20,918,2218,811,387766624666267,387766624666267_1346771098765810
21,29,6766,53,387766624666267,387766624666267_1346076975501889
22,284,1835,362,387766624666267,387766624666267_1344231692353084
23,652,2070,634,387766624666267,387766624666267_1341866422589611
24,1016,3514,923,387766624666267,387766624666267_1341124042663849
25,592,2582,619,387766624666267,387766624666267_1340046256104961
26,2244,4642,2301,387766624666267,387766624666267_1339461502830103
27,26,1435,27,387766624666267,387766624666267_1338411106268476
28,129,893,118,387766624666267,387766624666267_1336953273080926
29,838,2262,724,387766624666267,387766624666267_1335511936558393
30,12,617,28,387766624666267,387766624666267_1333051953471058
31,253,3235,482,387766624666267,387766624666267_1332466570196263
32,152,1042,117,387766624666267,387766624666267_1332114816898105
33,33,21504,66,387766624666267,387766624666267_1331267663649487
34,107,846,86,387766624666267,387766624666267_1329349737174613
35,240,1305,253,387766624666267,387766624666267_1328552060587714
36,136,814,118,387766624666267,387766624666267_1326730630769857
37,4,351,2,387766624666267,387766624666267_1326028247506762
38,119,972,191,387766624666267,387766624666267_1325905177519069
39,313,1768,310,387766624666267,387766624666267_1324341717675415
40,88,455,94,387766624666267,387766624666267_1323578687751718
41,174,1140,146,387766624666267,387766624666267_1323467037762883
42,20,242,45,387766624666267,387766624666267_1318472968262290
43,26,976,61,387766624666267,387766624666267_1317815708328016
44,22,233,11,387766624666267,387766624666267_1317597868349800
45,64,17660,119,387766624666267,387766624666267_1316522385124015
46,96,762,86,387766624666267,387766624666267_1316320748477512
47,44,394,29,387766624666267,387766624666267_1315297818579805
48,49,514,56,387766624666267,387766624666267_1314506535325600
