,num_comments,num_reactions,num_shares,page_id,post_id
0,84,600,122,1663369887236712,1663369887236712_1977895295784168
1,0,201,10,1663369887236712,1663369887236712_1977072192533145
2,1,122,2,1663369887236712,1663369887236712_1976600582580306
3,7,179,1,1663369887236712,1663369887236712_1976098652630499
4,256,936,363,1663369887236712,1663369887236712_1975650339341997
5,39,192,13,1663369887236712,1663369887236712_1975133969393634
6,111,805,342,1663369887236712,1663369887236712_1974577479449283
7,6560,6214,6140,1663369887236712,1663369887236712_1974028629504168
8,210,752,394,1663369887236712,1663369887236712_1973676016206096
9,111,613,98,1663369887236712,1663369887236712_1973214329585598
10,115,744,62,1663369887236712,1663369887236712_1972650072975357
11,39,375,56,1663369887236712,1663369887236712_1972629299644101
12,104,1921,568,1663369887236712,1663369887236712_1972316763008688
13,1,177,3,1663369887236712,1663369887236712_1970815963158768
14,2266,3215,2134,1663369887236712,1663369887236712_1970473959859635
15,319,1211,301,1663369887236712,1663369887236712_1970443023196062
16,229,917,336,1663369887236712,1663369887236712_1970192526554445
17,1842,3105,2148,1663369887236712,1663369887236712_1970066183233746
18,306,1227,481,1663369887236712,1663369887236712_1968531006720597
19,6,41,1,1663369887236712,1663369887236712_1968474170059614
20,36,229,19,1663369887236712,1663369887236712_1967600043480360
21,422,649,333,1663369887236712,1663369887236712_1967272680179763
22,40,826,1,1663369887236712,1663369887236712_1966861146887583
23,19,95,1,1663369887236712,1663369887236712_1966740966899601
24,732,1197,444,1663369887236712,1663369887236712_1966445670262464
25,20,552,1,1663369887236712,1663369887236712_1964999297073768
26,146,749,231,1663369887236712,1663369887236712_1964361330470898
27,361,1323,693,1663369887236712,1663369887236712_1963626157211082
28,63,583,48,1663369887236712,1663369887236712_1962664717307226
29,1119,4000,2484,1663369887236712,1663369887236712_1961910857382612
30,70,450,38,1663369887236712,1663369887236712_1961074857466212
31,50,5081,75,1663369887236712,1663369887236712_1960752664165098
32,24,1932,59,1663369887236712,1663369887236712_1960269520880079
33,5,77,1,1663369887236712,1663369887236712_1959891527584545
34,2552,2029,919,1663369887236712,1663369887236712_1959811200925911
35,59,400,63,1663369887236712,1663369887236712_1959073010999730
36,31,440,31,1663369887236712,1663369887236712_1958682721038759
37,144,908,126,1663369887236712,1663369887236712_1958275894412775
38,117,821,507,1663369887236712,1663369887236712_1957909671116064
39,2,90,4,1663369887236712,1663369887236712_1957793167794381
40,66,389,56,1663369887236712,1663369887236712_1956540947919603
41,1961,4860,3767,1663369887236712,1663369887236712_1955499708023727
42,21,84,5,1663369887236712,1663369887236712_1955338378039860
43,1623,3617,1840,1663369887236712,1663369887236712_1954938051413226
44,700,2041,878,1663369887236712,1663369887236712_1954679028105795
45,79,337,242,1663369887236712,1663369887236712_1953785774861787
46,2,34,1,1663369887236712,1663369887236712_1953502654890099
47,27,988,1,1663369887236712,1663369887236712_1953017511605280
48,30,164,22,1663369887236712,1663369887236712_1952575721649459
49,274,526,196,1663369887236712,1663369887236712_1952171968356501
50,5082,5692,5438,1663369887236712,1663369887236712_1951320081775023
51,37,166,28,1663369887236712,1663369887236712_1950494758524222
52,7428,18348,23926,1663369887236712,1663369887236712_1949604385279926
53,21,197,54,1663369887236712,1663369887236712_1949228198650878
54,371,999,759,1663369887236712,1663369887236712_1948338428739855
55,165,634,192,1663369887236712,1663369887236712_1947937842113247
56,27,147,36,1663369887236712,1663369887236712_1947525892154442
57,2,62,6,1663369887236712,1663369887236712_1947408755499489
58,184,867,260,1663369887236712,1663369887236712_1947102208863477
59,63,331,64,1663369887236712,1663369887236712_1946647015575663
60,11,31,6,1663369887236712,1663369887236712_1946604772246554
61,267,614,305,1663369887236712,1663369887236712_1945681582338873
62,79,465,68,1663369887236712,1663369887236712_1945114805728884
63,5,137,15,1663369887236712,1663369887236712_1944701132436918
64,7106,23348,19595,1663369887236712,1663369887236712_1943692652537766
65,43,420,86,1663369887236712,1663369887236712_1943287075911657
66,80,695,350,1663369887236712,1663369887236712_1942852852621746
67,139,401,84,1663369887236712,1663369887236712_1941967486043616
68,23,198,26,1663369887236712,1663369887236712_1940520996188265
69,166,463,130,1663369887236712,1663369887236712_1940022109571487
70,9,112,36,1663369887236712,1663369887236712_1939781226262242
