,num_comments,num_reactions,num_shares,page_id,post_id
0,15,308,22,161818843843444,161818843843444_1902069813151663
1,6,190,4,161818843843444,161818843843444_1898956773462967
2,0,68,1,161818843843444,161818843843444_1895627283795916
3,3,103,3,161818843843444,161818843843444_1884151708276807
4,1,54,2,161818843843444,161818843843444_1881952508496727
5,117,600,110,161818843843444,161818843843444_1881523698539608
6,9,133,3,161818843843444,161818843843444_1879050985453546
7,10,176,2,161818843843444,161818843843444_1876787092346602
8,13,120,9,161818843843444,161818843843444_1874654015893243
9,0,60,15,161818843843444,161818843843444_1873289276029717
10,8,69,3,161818843843444,161818843843444_1873094879382490
11,12,45,7,161818843843444,161818843843444_1869167029775275
12,65,87,23,161818843843444,161818843843444_1871885362836775
13,8,116,1,161818843843444,161818843843444_1871000256258619
14,7,420,6,161818843843444,161818843843444_1869799993045312
15,0,44,1,161818843843444,161818843843444_1868884036470241
16,14,273,1,161818843843444,161818843843444_1867568229935155
17,33,281,25,161818843843444,161818843843444_1866990246659620
18,130,90,29,161818843843444,161818843843444_1864398703585441
19,0,39,2,161818843843444,161818843843444_1863409540351024
20,2,74,3,161818843843444,161818843843444_1860985617260083
21,49,1353,3,161818843843444,161818843843444_1857831177575527
22,11,72,1,161818843843444,161818843843444_1857423427616302
23,20,242,2,161818843843444,161818843843444_1856627297695915
24,8,47,2,161818843843444,161818843843444_1856094521082526
25,10,146,1,161818843843444,161818843843444_1856286124396699
26,6,84,1,161818843843444,161818843843444_1856121317746513
27,8,335,7,161818843843444,161818843843444_1855057547852890
28,1,56,2,161818843843444,161818843843444_1854861201205858
29,7,55,2,161818843843444,161818843843444_1853771577981487
30,4,153,1,161818843843444,161818843843444_1853691307989514
31,30,212,18,161818843843444,161818843843444_1853121808046464
32,4,112,7,161818843843444,161818843843444_1851513238207321
33,7,331,36,161818843843444,161818843843444_1852735608085084
34,8,146,3,161818843843444,161818843843444_1851953911496587
35,3,97,6,161818843843444,161818843843444_1848124338546211
36,22,399,23,161818843843444,161818843843444_1848018255223486
37,7,170,1,161818843843444,161818843843444_1847321681959810
38,15,71,2,161818843843444,161818843843444_1847190481972930
39,4,76,2,161818843843444,161818843843444_1843829828975662
40,23,202,12,161818843843444,161818843843444_1846294055395906
41,6,48,3,161818843843444,161818843843444_1845277655497546
42,70,273,47,161818843843444,161818843843444_1843094552382523
43,58,137,37,161818843843444,161818843843444_1843949065630405
44,16,164,1,161818843843444,161818843843444_1843078472384131
45,23,155,1,161818843843444,161818843843444_1841849429173702
46,14,322,28,161818843843444,161818843843444_1839461076079204
47,1,98,2,161818843843444,161818843843444_1841276502564328
48,7,70,1,161818843843444,161818843843444_1840193416005970
49,136,130,38,161818843843444,161818843843444_1839259199432725
50,6,67,1,161818843843444,161818843843444_1839240642767914
51,205,361,136,161818843843444,161818843843444_1839039229454722
52,2,35,2,161818843843444,161818843843444_1838845149474130
53,150,765,117,161818843843444,161818843843444_1837913922900586
54,0,29,1,161818843843444,161818843843444_1837535436271768
55,8,128,2,161818843843444,161818843843444_1836572739701371
56,11,131,2,161818843843444,161818843843444_1836473729711272
57,0,24,1,161818843843444,161818843843444_1836428666382445
58,188,120,40,161818843843444,161818843843444_1830895103602468
59,0,37,1,161818843843444,161818843843444_1830843353607643
60,6,50,2,161818843843444,161818843843444_1830807610277884
61,4,264,2,161818843843444,161818843843444_1829549967070315
62,4,133,1,161818843843444,161818843843444_1826951843996794
63,30,99,5,161818843843444,161818843843444_1826349430723702
64,28,236,12,161818843843444,161818843843444_1826226084069370
65,28,92,1,161818843843444,161818843843444_1822845757740736
66,14,237,2,161818843843444,161818843843444_1822801667745145
67,3,61,1,161818843843444,161818843843444_1822480614443917
68,38,124,33,161818843843444,161818843843444_1819990251359620
69,35,365,31,161818843843444,161818843843444_1821606881197957
70,4,110,2,161818843843444,161818843843444_1821453687879943
71,4,57,19,161818843843444,161818843843444_1820331371325508
72,17,103,14,161818843843444,161818843843444_1817641234927855
73,469,196,9,161818843843444,161818843843444_1817969068228405
74,62,140,1,161818843843444,161818843843444_1816783751680270
75,106,456,130,161818843843444,161818843843444_1816483938376918
76,0,51,1,161818843843444,161818843843444_1815432688482043
77,6,220,9,161818843843444,161818843843444_1814076498617662
78,8,232,2,161818843843444,161818843843444_1812794552079190
79,15,124,30,161818843843444,161818843843444_1811909722167673
80,6,285,1,161818843843444,161818843843444_1808936262465019
81,4,77,1,161818843843444,161818843843444_1804121126279866
82,25,267,15,161818843843444,161818843843444_1802294673129178
83,2,70,5,161818843843444,161818843843444_1801583436533635
84,13,158,17,161818843843444,161818843843444_1800292926662686
85,4,281,3,161818843843444,161818843843444_1799951530030159
