,num_comments,num_reactions,num_shares,page_id,post_id
0,0,146,4,1436860363229411,1436860363229411_1934197283495714
1,0,162,21,1436860363229411,1436860363229411_1934095193505923
2,57,330,268,1436860363229411,1436860363229411_1932917160290393
3,12,240,14,1436860363229411,1436860363229411_1931941553721287
4,0,20,1,1436860363229411,1436860363229411_1931522567096519
5,17,186,15,1436860363229411,1436860363229411_1931570983758344
6,55,440,56,1436860363229411,1436860363229411_1931516123763830
7,4,81,1,1436860363229411,1436860363229411_1931115360470573
8,17,180,35,1436860363229411,1436860363229411_1930785483836894
9,48,361,46,1436860363229411,1436860363229411_1930624477186328
10,26,248,27,1436860363229411,1436860363229411_1930381767210599
11,3,107,42,1436860363229411,1436860363229411_1929933547255421
12,12,263,18,1436860363229411,1436860363229411_1929931500588959
13,0,507,35,1436860363229411,1436860363229411_1929652890616820
14,83,540,49,1436860363229411,1436860363229411_1929616227287153
15,15,194,1,1436860363229411,1436860363229411_1929505213964921
16,8,49,3,1436860363229411,1436860363229411_1929139380668171
17,12,181,13,1436860363229411,1436860363229411_1928604457388330
18,75,591,50,1436860363229411,1436860363229411_1928521784063264
19,2,98,6,1436860363229411,1436860363229411_1928515624063880
20,4,77,6,1436860363229411,1436860363229411_1928211800760929
21,60,359,31,1436860363229411,1436860363229411_1928505510731558
22,298,1113,178,1436860363229411,1436860363229411_1928386117410164
23,236,461,203,1436860363229411,1436860363229411_1928062790775830
24,0,21,3,1436860363229411,1436860363229411_1927791877469588
25,189,780,168,1436860363229411,1436860363229411_1927699020812207
26,3,68,4,1436860363229411,1436860363229411_1927343947514381
27,44,1188,105,1436860363229411,1436860363229411_1926669520915157
28,0,63,6,1436860363229411,1436860363229411_1926251354290307
29,453,556,396,1436860363229411,1436860363229411_1925870690995040
30,6,29,10,1436860363229411,1436860363229411_1925354341046675
31,89,861,145,1436860363229411,1436860363229411_1925431677705608
32,35,341,12,1436860363229411,1436860363229411_1925349761047133
33,4,77,21,1436860363229411,1436860363229411_1925056644409778
34,37,174,36,1436860363229411,1436860363229411_1924563694459073
35,2,30,10,1436860363229411,1436860363229411_1924203051161804
36,0,20,2,1436860363229411,1436860363229411_1924199631162146
37,200,235,157,1436860363229411,1436860363229411_1923149784600464
38,17,153,7,1436860363229411,1436860363229411_1923304031251706
39,163,227,125,1436860363229411,1436860363229411_1922969471285162
40,16,87,30,1436860363229411,1436860363229411_1922784957970280
41,87,1032,365,1436860363229411,1436860363229411_1922424208006355
42,15,124,22,1436860363229411,1436860363229411_1922408991341210
43,0,62,5,1436860363229411,1436860363229411_1922138001368309
44,6,104,13,1436860363229411,1436860363229411_1921803238068452
45,4,30,5,1436860363229411,1436860363229411_1921613084754134
46,41,377,23,1436860363229411,1436860363229411_1921317174783725
47,14,268,17,1436860363229411,1436860363229411_1921017348147041
48,6,167,7,1436860363229411,1436860363229411_1920543514861091
49,2,65,18,1436860363229411,1436860363229411_1920514301530679
50,19,170,17,1436860363229411,1436860363229411_1920097141572395
51,136,1170,228,1436860363229411,1436860363229411_1919836584931784
52,21,290,9,1436860363229411,1436860363229411_1919805301601579
53,0,32,5,1436860363229411,1436860363229411_1919374321644677
54,5,157,10,1436860363229411,1436860363229411_1917844545130988
55,6,108,7,1436860363229411,1436860363229411_1917143175201125
56,0,23,2,1436860363229411,1436860363229411_1917188868529889
57,115,163,67,1436860363229411,1436860363229411_1917132715202171
58,6,99,7,1436860363229411,1436860363229411_1916426845272758
59,1,72,10,1436860363229411,1436860363229411_1916379665277476
60,12,239,10,1436860363229411,1436860363229411_1916217011960408
61,2,97,6,1436860363229411,1436860363229411_1915664195349023
62,9,103,11,1436860363229411,1436860363229411_1915322745383168
63,8,75,16,1436860363229411,1436860363229411_1914985592083550
64,2,68,1,1436860363229411,1436860363229411_1914552148793561
65,19,298,23,1436860363229411,1436860363229411_1914140005501442
66,17,262,23,1436860363229411,1436860363229411_1913819012200208
67,62,502,49,1436860363229411,1436860363229411_1913807588868017
68,20,171,37,1436860363229411,1436860363229411_1913406978908078
69,8,233,10,1436860363229411,1436860363229411_1913050585610384
70,3,287,19,1436860363229411,1436860363229411_1913045015610941
71,4,66,3,1436860363229411,1436860363229411_1912541495661293
72,536,1587,266,1436860363229411,1436860363229411_1912052139043562
73,10,92,12,1436860363229411,1436860363229411_1912047189044057
74,12,261,20,1436860363229411,1436860363229411_1911623722419737
75,1167,2620,1612,1436860363229411,1436860363229411_1911246309124145
76,77,704,66,1436860363229411,1436860363229411_1910863245829118
77,16,265,10,1436860363229411,1436860363229411_1910670595848383
78,1004,3415,2660,1436860363229411,1436860363229411_1910517679197008
79,6,254,16,1436860363229411,1436860363229411_1910518792530230
80,99,185,83,1436860363229411,1436860363229411_1909301452651964
81,40,493,39,1436860363229411,1436860363229411_1910093615906081
82,2,159,3,1436860363229411,1436860363229411_1910083205907122
83,31,185,12,1436860363229411,1436860363229411_1909872962594813
84,3,97,11,1436860363229411,1436860363229411_1909083512673758
85,59,826,59,1436860363229411,1436860363229411_1909722205943222
86,37,321,15,1436860363229411,1436860363229411_1909476479301128
87,17,611,17,1436860363229411,1436860363229411_1908897632692346
88,1914,8011,3739,1436860363229411,1436860363229411_1909324409316335
89,51,543,66,1436860363229411,1436860363229411_1909055686009874
90,2,69,2,1436860363229411,1436860363229411_1908867832695326
91,3,92,9,1436860363229411,1436860363229411_1908616999387076
92,2,318,19,1436860363229411,1436860363229411_1908475502734559
93,0,82,12,1436860363229411,1436860363229411_1908277839420992
94,11,252,12,1436860363229411,1436860363229411_1908082559440520
95,3,80,4,1436860363229411,1436860363229411_1908058786109564
96,0,64,6,1436860363229411,1436860363229411_1907693692812740
97,1,41,4,1436860363229411,1436860363229411_1907318712850238
98,45,221,23,1436860363229411,1436860363229411_1907313822850727
99,58,421,47,1436860363229411,1436860363229411_1906971736218269
100,82,756,93,1436860363229411,1436860363229411_1906419966273446
101,6,115,9,1436860363229411,1436860363229411_1906620342920075
102,92,476,36,1436860363229411,1436860363229411_1906273386288104
103,39,308,25,1436860363229411,1436860363229411_1905560126359430
104,3,58,2,1436860363229411,1436860363229411_1905477946367648
105,4,317,100,1436860363229411,1436860363229411_1905096266405816
106,0,1115,11,1436860363229411,1436860363229411_1904746509774125
107,0,28,2,1436860363229411,1436860363229411_1904447613137348
108,1028,2835,2769,1436860363229411,1436860363229411_1904395786475864
109,176,1503,143,1436860363229411,1436860363229411_1904260783156031
110,25,248,31,1436860363229411,1436860363229411_1903891623192947
111,82,671,85,1436860363229411,1436860363229411_1903922879856488
112,42,313,23,1436860363229411,1436860363229411_1903678303214279
113,37,380,63,1436860363229411,1436860363229411_1903597696555673
114,2,221,4,1436860363229411,1436860363229411_1903177056597737
115,229,1304,190,1436860363229411,1436860363229411_1902613569987419
116,13,238,18,1436860363229411,1436860363229411_1902469163335193
