,num_comments,num_reactions,num_shares,page_id,post_id
0,2,23,8,1886953594900349,1886953594900349_1944660209129687
1,10,103,15,1886953594900349,1886953594900349_1943368642592177
2,14,75,17,1886953594900349,1886953594900349_1942915682637473
3,6,48,10,1886953594900349,1886953594900349_1942836449312063
4,3,20,10,1886953594900349,1886953594900349_1942550832673958
5,279,1066,1035,1886953594900349,1886953594900349_1942431802685861
6,2,18,5,1886953594900349,1886953594900349_1942135449382163
7,1240,1574,1841,1886953594900349,1886953594900349_1941363726126002
8,56,192,82,1886953594900349,1886953594900349_1940988136163561
9,5,51,4,1886953594900349,1886953594900349_1939859059609802
10,11,93,16,1886953594900349,1886953594900349_1938227863106255
11,13,148,22,1886953594900349,1886953594900349_1937936309802077
12,4,41,2,1886953594900349,1886953594900349_1937471929848515
13,14,51,30,1886953594900349,1886953594900349_1935349900060718
14,0,25,1,1886953594900349,1886953594900349_1934958080099900
15,55,143,66,1886953594900349,1886953594900349_1933682500227458
16,93,238,142,1886953594900349,1886953594900349_1933334623595579
17,135,540,150,1886953594900349,1886953594900349_1932526127009762
18,32,257,55,1886953594900349,1886953594900349_1932528457009529
19,15,89,32,1886953594900349,1886953594900349_1932250617037313
20,2,38,3,1886953594900349,1886953594900349_1930549913874050
21,0,24,1,1886953594900349,1886953594900349_1929775103951531
22,78,304,59,1886953594900349,1886953594900349_1928830014046040
23,3,53,5,1886953594900349,1886953594900349_1925155154413526
24,9,70,20,1886953594900349,1886953594900349_1923303631265345
25,699,728,738,1886953594900349,1886953594900349_1923005917961783
26,64,173,43,1886953594900349,1886953594900349_1922817677980607
27,1,30,2,1886953594900349,1886953594900349_1922387651356943
28,98,133,84,1886953594900349,1886953594900349_1922080621387646
29,24,194,53,1886953594900349,1886953594900349_1921543221441386
30,3959,3621,3688,1886953594900349,1886953594900349_1920321314896910
31,83,204,83,1886953594900349,1886953594900349_1919688034960238
32,170,371,174,1886953594900349,1886953594900349_1919220415007000
33,39,148,38,1886953594900349,1886953594900349_1917350748527300
34,2,33,2,1886953594900349,1886953594900349_1916504371945271
35,9,56,9,1886953594900349,1886953594900349_1914376038824771
36,72,708,71,1886953594900349,1886953594900349_1913519478910427
37,1,32,1,1886953594900349,1886953594900349_1912774178984957
38,75,404,87,1886953594900349,1886953594900349_1912760645652977
39,0,21,1,1886953594900349,1886953594900349_1911817059080669
40,0,191,5,1886953594900349,1886953594900349_1911416939120681
