,num_comments,num_reactions,num_shares,page_id,post_id
0,0,44,4,464171817085120,464171817085120_857217481113883
1,0,30,5,464171817085120,464171817085120_853245311511100
2,3,27,2,464171817085120,464171817085120_852786564890308
3,0,47,1,464171817085120,464171817085120_852600378242260
4,1,38,4,464171817085120,464171817085120_851823724986592
5,0,35,2,464171817085120,464171817085120_851205585048406
6,2,39,26,464171817085120,464171817085120_850459585123006
7,18,64,1,464171817085120,464171817085120_847366735432291
8,1,15,2,464171817085120,464171817085120_847059338796364
9,0,26,1,464171817085120,464171817085120_845704915598473
10,460,530,342,464171817085120,464171817085120_844727525696212
11,10,67,1,464171817085120,464171817085120_843411859161112
12,2,20,1,464171817085120,464171817085120_842624222573209
13,1,38,4,464171817085120,464171817085120_842230385945926
14,0,20,2,464171817085120,464171817085120_841657126003252
15,334,435,256,464171817085120,464171817085120_840864546082510
16,7,67,1,464171817085120,464171817085120_840738872761744
17,4,42,1,464171817085120,464171817085120_840461102789521
18,0,59,7,464171817085120,464171817085120_838749086294056
19,0,35,2,464171817085120,464171817085120_838256503009981
20,2,44,7,464171817085120,464171817085120_837886626380302
21,598,741,498,464171817085120,464171817085120_837407669761531
22,2,43,3,464171817085120,464171817085120_837387019763596
23,0,36,1,464171817085120,464171817085120_836899363145695
24,3,43,1,464171817085120,464171817085120_836798349822463
25,1,41,5,464171817085120,464171817085120_836150863220545
26,8,115,24,464171817085120,464171817085120_835718106597154
27,0,32,1,464171817085120,464171817085120_834850130017285
28,2,62,7,464171817085120,464171817085120_833586846810280
29,1,30,4,464171817085120,464171817085120_832645800237718
30,1,23,1,464171817085120,464171817085120_831764663659165
31,4,51,29,464171817085120,464171817085120_831591323676499
32,1,45,4,464171817085120,464171817085120_830919383743693
33,2,39,8,464171817085120,464171817085120_829546467214318
34,53,170,32,464171817085120,464171817085120_824900147678950
35,14,46,2,464171817085120,464171817085120_824898711012427
36,0,33,1,464171817085120,464171817085120_822998481202450
37,332,452,266,464171817085120,464171817085120_821988391303459
38,0,37,5,464171817085120,464171817085120_818710884964543
39,0,30,6,464171817085120,464171817085120_818360861666212
