,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,0,172,31,778290312277419,778290312277419_1288934641212981,2017-10-26
1,0,240,19,778290312277419,778290312277419_1288932881213157,2017-10-26
2,1,56,27,778290312277419,778290312277419_1287936551312790,2017-10-25
3,0,48,3,778290312277419,778290312277419_1287906467982465,2017-10-25
4,0,19,1,778290312277419,778290312277419_1283339135105865,2017-10-21
5,0,20,1,778290312277419,778290312277419_1283995195040259,2017-10-20
6,0,19,1,778290312277419,778290312277419_1283124368460675,2017-10-20
7,0,37,4,778290312277419,778290312277419_1283123128460799,2017-10-19
8,0,41,1,778290312277419,778290312277419_1278483805591398,2017-10-13
9,0,116,14,778290312277419,778290312277419_1277741852332260,2017-10-12
10,16,93,8,778290312277419,778290312277419_1277194399053672,2017-10-11
11,3,225,24,778290312277419,778290312277419_1275554089217703,2017-10-11
12,2,63,2,778290312277419,778290312277419_1276332945806484,2017-10-10
13,0,31,8,778290312277419,778290312277419_1276294422477003,2017-10-10
14,13,302,30,778290312277419,778290312277419_1275420499231062,2017-10-09
15,16,366,52,778290312277419,778290312277419_1273013526138426,2017-10-06
16,4,82,5,778290312277419,778290312277419_1272990726140706,2017-10-06
17,2,123,10,778290312277419,778290312277419_1272211849551927,2017-10-05
18,112,833,167,778290312277419,778290312277419_1270608896378889,2017-10-03
19,156,1298,520,778290312277419,778290312277419_1267513766688402,2017-09-29
20,8,202,28,778290312277419,778290312277419_1267663046673474,2017-09-29
21,2,84,9,778290312277419,778290312277419_1267634690009643,2017-09-29
22,8,154,13,778290312277419,778290312277419_1266378336801945,2017-09-27
23,13,359,57,778290312277419,778290312277419_1265526600220452,2017-09-26
24,94,982,425,778290312277419,778290312277419_1262367523869693,2017-09-22
25,4,153,17,778290312277419,778290312277419_1262369137202865,2017-09-22
26,13,148,46,778290312277419,778290312277419_1261786517261127,2017-09-21
27,35,547,124,778290312277419,778290312277419_1256348921138220,2017-09-15
28,0,58,8,778290312277419,778290312277419_1257023831070729,2017-09-15
29,12,128,1,778290312277419,778290312277419_1254947457945033,2017-09-12
30,70,911,279,778290312277419,778290312277419_1251943488245430,2017-09-08
31,1,67,11,778290312277419,778290312277419_1251893028250476,2017-09-08
32,3,59,12,778290312277419,778290312277419_1251292878310491,2017-09-07
33,0,63,1,778290312277419,778290312277419_1250578621715250,2017-09-06
34,0,38,2,778290312277419,778290312277419_1248969145209531,2017-09-04
35,28,498,67,778290312277419,778290312277419_1246604472112665,2017-09-01
36,1,98,11,778290312277419,778290312277419_1246423982130714,2017-09-01
37,0,60,1,778290312277419,778290312277419_1241945282578584,2017-08-26
38,33,474,69,778290312277419,778290312277419_1240719056034540,2017-08-25
39,2,63,6,778290312277419,778290312277419_1240615076044938,2017-08-25
40,45,494,68,778290312277419,778290312277419_1238223162950796,2017-08-22
41,4,162,55,778290312277419,778290312277419_1237569469682832,2017-08-21
42,2,117,6,778290312277419,778290312277419_1236903889749390,2017-08-20
43,49,401,68,778290312277419,778290312277419_1235247366581709,2017-08-18
44,2,61,19,778290312277419,778290312277419_1235033833269729,2017-08-18
45,0,171,10,778290312277419,778290312277419_1232153363557776,2017-08-14
46,36,489,70,778290312277419,778290312277419_1229768297129616,2017-08-11
47,1,70,7,778290312277419,778290312277419_1228820123891100,2017-08-11
48,18,277,72,778290312277419,778290312277419_1228860220553757,2017-08-10
49,17,329,62,778290312277419,778290312277419_1224204307686015,2017-08-04
50,1,99,13,778290312277419,778290312277419_1224039697702476,2017-08-04
51,375,2577,459,778290312277419,778290312277419_1222506667855779,2017-08-02
52,3,88,11,778290312277419,778290312277419_1220920688014377,2017-07-31
