,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,0,51,12,320764744931291,320764744931291_569566213384475,2017-10-24
1,0,24,3,320764744931291,320764744931291_567033416971088,2017-10-18
2,2,128,5,320764744931291,320764744931291_563418500665913,2017-10-09
3,105,276,93,320764744931291,320764744931291_561890404152056,2017-10-05
4,0,159,5,320764744931291,320764744931291_561135227560907,2017-10-04
5,10,202,16,320764744931291,320764744931291_560533457621084,2017-10-02
6,1,34,6,320764744931291,320764744931291_558881544452942,2017-09-29
7,3,80,14,320764744931291,320764744931291_558078907866539,2017-09-27
8,1,81,6,320764744931291,320764744931291_557591334581963,2017-09-26
9,0,14,1,320764744931291,320764744931291_557224564618640,2017-09-24
10,12,22,6,320764744931291,320764744931291_554914441516319,2017-09-21
11,28,204,81,320764744931291,320764744931291_554148574926239,2017-09-19
12,0,26,2,320764744931291,320764744931291_554235448250885,2017-09-17
13,0,64,1,320764744931291,320764744931291_553324745008622,2017-09-14
14,1,74,10,320764744931291,320764744931291_551609428513487,2017-09-11
15,2,51,8,320764744931291,320764744931291_551512978523132,2017-09-10
16,0,13,1,320764744931291,320764744931291_550579965283100,2017-09-08
17,0,26,3,320764744931291,320764744931291_549489448725485,2017-09-06
18,0,27,2,320764744931291,320764744931291_546155202392243,2017-08-29
19,0,19,1,320764744931291,320764744931291_545343972473366,2017-08-27
20,0,22,2,320764744931291,320764744931291_544416442566119,2017-08-25
21,0,29,3,320764744931291,320764744931291_541713339503096,2017-08-19
22,4,43,21,320764744931291,320764744931291_539349086406188,2017-08-14
23,1,80,3,320764744931291,320764744931291_537781289896301,2017-08-10
24,0,26,3,320764744931291,320764744931291_535636993444064,2017-08-06
25,95,344,187,320764744931291,320764744931291_534111716929925,2017-08-02
26,1,60,2,320764744931291,320764744931291_533712553636508,2017-08-01
