,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,49,654,43,491309534239885,491309534239885_1434882933215869,2017-10-27
1,1326,10263,4374,491309534239885,491309534239885_1430366870334142,2017-10-22
2,97,1768,177,491309534239885,491309534239885_1422202777817218,2017-10-13
3,64,2699,1141,491309534239885,491309534239885_1417748021596027,2017-10-08
4,49,1440,118,491309534239885,491309534239885_1414602848577211,2017-10-04
5,12,598,11,491309534239885,491309534239885_1408867675817395,2017-09-27
6,17,319,5,491309534239885,491309534239885_1405478506156312,2017-09-23
7,58,867,72,491309534239885,491309534239885_1402358533134976,2017-09-19
8,10,348,6,491309534239885,491309534239885_1401260713244758,2017-09-18
9,14,713,42,491309534239885,491309534239885_1399897003381129,2017-09-16
10,38,324,1,491309534239885,491309534239885_1398879046816258,2017-09-15
11,15,451,22,491309534239885,491309534239885_1398298286874334,2017-09-14
12,58,1441,230,491309534239885,491309534239885_1397477373623092,2017-09-13
13,26,717,38,491309534239885,491309534239885_1395963550441141,2017-09-11
14,16,330,6,491309534239885,491309534239885_1393428027361360,2017-09-08
15,24,873,40,491309534239885,491309534239885_1392060714164758,2017-09-06
16,31,744,129,491309534239885,491309534239885_1384706098233553,2017-08-29
17,18,652,41,491309534239885,491309534239885_1383111625059667,2017-08-27
18,37,564,48,491309534239885,491309534239885_1381131768590986,2017-08-25
19,48,1036,81,491309534239885,491309534239885_1375920992445397,2017-08-19
20,22,886,42,491309534239885,491309534239885_1371762372861259,2017-08-14
21,27,566,54,491309534239885,491309534239885_1369142053123291,2017-08-11
22,22,255,28,491309534239885,491309534239885_1361834780520685,2017-08-03
23,68,1413,354,491309534239885,491309534239885_1359578034079693,2017-07-31
