,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,3,83,17,427521930787483,427521930787483_711255732414100,2017-10-23
1,0,35,5,427521930787483,427521930787483_710086859197654,2017-10-20
2,27,617,59,427521930787483,427521930787483_706593646213642,2017-10-11
3,1,649,17,427521930787483,427521930787483_704649706408036,2017-10-06
4,8,162,5,427521930787483,427521930787483_703849036488103,2017-10-04
5,11,320,13,427521930787483,427521930787483_703416639864676,2017-10-03
6,5,1050,24,427521930787483,427521930787483_702341979972142,2017-09-30
7,3,118,2,427521930787483,427521930787483_699009273638746,2017-09-21
8,0,471,1,427521930787483,427521930787483_693640384175635,2017-09-08
9,31,361,44,427521930787483,427521930787483_690493444490329,2017-08-31
10,0,21,2,427521930787483,427521930787483_688223511383989,2017-08-25
11,0,30,1,427521930787483,427521930787483_687840181422322,2017-08-24
12,0,11,1,427521930787483,427521930787483_687460611460279,2017-08-23
13,1,358,2,427521930787483,427521930787483_685229178350089,2017-08-17
14,1,57,1,427521930787483,427521930787483_683554565184217,2017-08-13
15,23,2403,46,427521930787483,427521930787483_682390748633932,2017-08-10
16,121,246,87,427521930787483,427521930787483_682315131974827,2017-08-10
17,7,707,22,427521930787483,427521930787483_680133902192950,2017-08-04
