,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,2,5,5,960782227349574,960782227349574_1535027806591677,2017-10-15
1,3,12,4,960782227349574,960782227349574_1522013361226455,2017-10-01
2,7,68,17,960782227349574,960782227349574_1505587889535669,2017-09-13
3,1,13,2,960782227349574,960782227349574_1504718872955904,2017-09-12
4,1,17,1,960782227349574,960782227349574_1502308386530286,2017-09-09
5,0,6,1,960782227349574,960782227349574_1502252766535848,2017-09-09
6,0,5,1,960782227349574,960782227349574_1500616230032835,2017-09-07
7,2,18,2,960782227349574,960782227349574_1498787256882399,2017-09-05
8,0,2,1,960782227349574,960782227349574_1481389795288812,2017-08-18
9,8,16,11,960782227349574,960782227349574_1478740928887032,2017-08-15
10,0,5,1,960782227349574,960782227349574_1464799403614518,2017-08-01
11,0,2,1,960782227349574,960782227349574_1464619753632483,2017-08-01
12,0,8,1,960782227349574,960782227349574_1463882037039588,2017-07-31
