,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,651,1894,573,387766624666267,387766624666267_1376755972433989,2017-10-12
1,8,123,8,387766624666267,387766624666267_1374997329276520,2017-10-10
2,362,1988,287,387766624666267,387766624666267_1374923529283900,2017-10-10
3,77,798,73,387766624666267,387766624666267_1374817382627848,2017-10-10
4,116,742,97,387766624666267,387766624666267_1373986069377646,2017-10-09
5,80,895,105,387766624666267,387766624666267_1371546919621561,2017-10-06
6,103,1780,97,387766624666267,387766624666267_1371112506331669,2017-10-05
7,712,2209,620,387766624666267,387766624666267_1370208803088706,2017-10-04
8,53,940,37,387766624666267,387766624666267_1369182373191349,2017-10-03
9,46,318,33,387766624666267,387766624666267_1366058700170383,2017-09-29
10,1071,3334,1025,387766624666267,387766624666267_1363655507077369,2017-09-26
11,411,1311,300,387766624666267,387766624666267_1358277920948461,2017-09-20
12,1299,3652,1430,387766624666267,387766624666267_1355069491269304,2017-09-16
13,57,633,77,387766624666267,387766624666267_1354137554695831,2017-09-15
14,126,990,108,387766624666267,387766624666267_1352616944847892,2017-09-13
15,330,1202,250,387766624666267,387766624666267_1352449908197929,2017-09-13
16,23,320,7,387766624666267,387766624666267_1352362011540052,2017-09-13
17,20,23403,101,387766624666267,387766624666267_1350882471688006,2017-09-11
18,64,443,59,387766624666267,387766624666267_1348707761905477,2017-09-08
19,324,1733,289,387766624666267,387766624666267_1348083801967873,2017-09-07
20,918,2218,811,387766624666267,387766624666267_1346771098765810,2017-09-05
21,29,6766,53,387766624666267,387766624666267_1346076975501889,2017-09-04
22,284,1835,362,387766624666267,387766624666267_1344231692353084,2017-09-02
23,652,2070,634,387766624666267,387766624666267_1341866422589611,2017-08-30
24,1016,3514,923,387766624666267,387766624666267_1341124042663849,2017-08-29
25,592,2582,619,387766624666267,387766624666267_1340046256104961,2017-08-28
26,2244,4642,2301,387766624666267,387766624666267_1339461502830103,2017-08-27
27,26,1435,27,387766624666267,387766624666267_1338411106268476,2017-08-26
28,129,893,118,387766624666267,387766624666267_1336953273080926,2017-08-24
29,838,2262,724,387766624666267,387766624666267_1335511936558393,2017-08-22
30,12,617,28,387766624666267,387766624666267_1333051953471058,2017-08-19
31,253,3235,482,387766624666267,387766624666267_1332466570196263,2017-08-18
32,152,1042,117,387766624666267,387766624666267_1332114816898105,2017-08-18
33,33,21504,66,387766624666267,387766624666267_1331267663649487,2017-08-17
34,107,846,86,387766624666267,387766624666267_1329349737174613,2017-08-15
35,240,1305,253,387766624666267,387766624666267_1328552060587714,2017-08-14
36,136,814,118,387766624666267,387766624666267_1326730630769857,2017-08-12
37,4,351,2,387766624666267,387766624666267_1326028247506762,2017-08-11
38,119,972,191,387766624666267,387766624666267_1325905177519069,2017-08-11
39,313,1768,310,387766624666267,387766624666267_1324341717675415,2017-08-09
40,88,455,94,387766624666267,387766624666267_1323578687751718,2017-08-08
41,174,1140,146,387766624666267,387766624666267_1323467037762883,2017-08-08
42,20,242,45,387766624666267,387766624666267_1318472968262290,2017-08-04
43,26,976,61,387766624666267,387766624666267_1317815708328016,2017-08-03
44,22,233,11,387766624666267,387766624666267_1317597868349800,2017-08-03
45,64,17660,119,387766624666267,387766624666267_1316522385124015,2017-08-02
46,96,762,86,387766624666267,387766624666267_1316320748477512,2017-08-02
47,44,394,29,387766624666267,387766624666267_1315297818579805,2017-08-01
48,49,514,56,387766624666267,387766624666267_1314506535325600,2017-07-31
