,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,167,1622,189,369540316568629,369540316568629_756224051233585,2017-10-21
1,4,36,1,369540316568629,369540316568629_755435714645752,2017-10-19
2,218,941,175,369540316568629,369540316568629_753473221508668,2017-10-15
3,2,45,2,369540316568629,369540316568629_751401135049210,2017-10-10
4,9,125,24,369540316568629,369540316568629_749662741889716,2017-10-06
5,2,97,11,369540316568629,369540316568629_748463008676356,2017-10-03
6,5,54,4,369540316568629,369540316568629_748037148718942,2017-10-02
7,169,823,220,369540316568629,369540316568629_747572508765406,2017-10-01
8,1,49,7,369540316568629,369540316568629_747212438801413,2017-09-30
9,15,195,22,369540316568629,369540316568629_746763072179683,2017-09-29
10,751,2030,912,369540316568629,369540316568629_746378355551488,2017-09-28
11,178,1478,122,369540316568629,369540316568629_745635165625807,2017-09-26
12,21,155,6,369540316568629,369540316568629_745334765655847,2017-09-25
13,44,340,34,369540316568629,369540316568629_744949715694352,2017-09-24
14,65,1325,90,369540316568629,369540316568629_744386662417324,2017-09-23
15,1931,3511,1862,369540316568629,369540316568629_743958592460131,2017-09-22
16,38,300,34,369540316568629,369540316568629_743651295824194,2017-09-21
17,53,656,58,369540316568629,369540316568629_743105119212145,2017-09-20
18,83,588,49,369540316568629,369540316568629_742661899256467,2017-09-19
19,21,1294,41,369540316568629,369540316568629_741845136004810,2017-09-17
20,307,966,208,369540316568629,369540316568629_741060602749930,2017-09-15
21,109,582,56,369540316568629,369540316568629_740648206124503,2017-09-14
22,197,1031,195,369540316568629,369540316568629_740189719503685,2017-09-13
23,16,41,11,369540316568629,369540316568629_740103489512308,2017-09-13
24,1197,3944,3032,369540316568629,369540316568629_739815009541156,2017-09-12
25,18,245,15,369540316568629,369540316568629_739446889577968,2017-09-11
26,7,156,10,369540316568629,369540316568629_738943102961680,2017-09-10
27,57,487,175,369540316568629,369540316568629_738616696327654,2017-09-09
28,5,224,1,369540316568629,369540316568629_738578622998128,2017-09-09
29,225,2006,628,369540316568629,369540316568629_738207423035248,2017-09-08
30,15,176,25,369540316568629,369540316568629_737833286405995,2017-09-07
31,99,1493,162,369540316568629,369540316568629_737462623109728,2017-09-06
32,140,843,82,369540316568629,369540316568629_736778666511457,2017-09-04
33,94,646,183,369540316568629,369540316568629_736429779879679,2017-09-03
34,21,247,17,369540316568629,369540316568629_736071069915550,2017-09-02
35,926,5338,3586,369540316568629,369540316568629_735591286630195,2017-09-01
36,157,1143,115,369540316568629,369540316568629_735169103339080,2017-08-31
37,45,563,49,369540316568629,369540316568629_734853260037331,2017-08-30
38,21,391,11,369540316568629,369540316568629_734446003411390,2017-08-29
39,226,1527,323,369540316568629,369540316568629_734108613445129,2017-08-28
40,2624,5895,8640,369540316568629,369540316568629_733718426817481,2017-08-27
41,25,1517,72,369540316568629,369540316568629_732749733581017,2017-08-25
42,403,1956,575,369540316568629,369540316568629_732373840285273,2017-08-24
43,153,1591,2,369540316568629,369540316568629_731842707005053,2017-08-23
44,194,734,287,369540316568629,369540316568629_731419650380692,2017-08-22
45,167,656,183,369540316568629,369540316568629_730975260425131,2017-08-21
46,102,1283,182,369540316568629,369540316568629_730397450482912,2017-08-20
47,187,800,139,369540316568629,369540316568629_729523460570311,2017-08-18
48,778,3316,1026,369540316568629,369540316568629_728596453996345,2017-08-16
49,18,502,75,369540316568629,369540316568629_728063124049678,2017-08-15
50,18,1880,48,369540316568629,369540316568629_727498970772760,2017-08-14
51,14,1539,60,369540316568629,369540316568629_726950650827592,2017-08-13
52,3,125,20,369540316568629,369540316568629_726254920897165,2017-08-12
53,258,2948,417,369540316568629,369540316568629_726035874252403,2017-08-11
54,199,4241,184,369540316568629,369540316568629_725618480960809,2017-08-10
55,1027,2396,778,369540316568629,369540316568629_725276217661702,2017-08-09
56,828,3342,1127,369540316568629,369540316568629_725180944337896,2017-08-09
57,113,538,115,369540316568629,369540316568629_724826831039974,2017-08-08
58,209,876,204,369540316568629,369540316568629_724457354410255,2017-08-07
59,79,812,49,369540316568629,369540316568629_724219201100737,2017-08-07
60,1126,4526,2840,369540316568629,369540316568629_723946004461390,2017-08-06
61,40,378,99,369540316568629,369540316568629_723324891190168,2017-08-05
62,571,2810,1079,369540316568629,369540316568629_722983244557666,2017-08-04
63,10,125,18,369540316568629,369540316568629_722464001276257,2017-08-03
64,118,1047,577,369540316568629,369540316568629_722177611304896,2017-08-02
65,660,1550,463,369540316568629,369540316568629_721721644683826,2017-08-01
