,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,84,600,122,1663369887236712,1663369887236712_1977895295784168,2017-10-28
1,0,201,10,1663369887236712,1663369887236712_1977072192533145,2017-10-26
2,1,122,2,1663369887236712,1663369887236712_1976600582580306,2017-10-25
3,7,179,1,1663369887236712,1663369887236712_1976098652630499,2017-10-24
4,256,936,363,1663369887236712,1663369887236712_1975650339341997,2017-10-23
5,39,192,13,1663369887236712,1663369887236712_1975133969393634,2017-10-22
6,111,805,342,1663369887236712,1663369887236712_1974577479449283,2017-10-21
7,6560,6214,6140,1663369887236712,1663369887236712_1974028629504168,2017-10-20
8,210,752,394,1663369887236712,1663369887236712_1973676016206096,2017-10-19
9,111,613,98,1663369887236712,1663369887236712_1973214329585598,2017-10-18
10,115,744,62,1663369887236712,1663369887236712_1972650072975357,2017-10-17
11,39,375,56,1663369887236712,1663369887236712_1972629299644101,2017-10-17
12,104,1921,568,1663369887236712,1663369887236712_1972316763008688,2017-10-16
13,1,177,3,1663369887236712,1663369887236712_1970815963158768,2017-10-13
14,2266,3215,2134,1663369887236712,1663369887236712_1970473959859635,2017-10-12
15,319,1211,301,1663369887236712,1663369887236712_1970443023196062,2017-10-12
16,229,917,336,1663369887236712,1663369887236712_1970192526554445,2017-10-11
17,1842,3105,2148,1663369887236712,1663369887236712_1970066183233746,2017-10-11
18,306,1227,481,1663369887236712,1663369887236712_1968531006720597,2017-10-07
19,6,41,1,1663369887236712,1663369887236712_1968474170059614,2017-10-07
20,36,229,19,1663369887236712,1663369887236712_1967600043480360,2017-10-05
21,422,649,333,1663369887236712,1663369887236712_1967272680179763,2017-10-04
22,40,826,1,1663369887236712,1663369887236712_1966861146887583,2017-10-03
23,19,95,1,1663369887236712,1663369887236712_1966740966899601,2017-10-03
24,732,1197,444,1663369887236712,1663369887236712_1966445670262464,2017-10-02
25,20,552,1,1663369887236712,1663369887236712_1964999297073768,2017-09-29
26,146,749,231,1663369887236712,1663369887236712_1964361330470898,2017-09-27
27,361,1323,693,1663369887236712,1663369887236712_1963626157211082,2017-09-25
28,63,583,48,1663369887236712,1663369887236712_1962664717307226,2017-09-23
29,1119,4000,2484,1663369887236712,1663369887236712_1961910857382612,2017-09-21
30,70,450,38,1663369887236712,1663369887236712_1961074857466212,2017-09-19
31,50,5081,75,1663369887236712,1663369887236712_1960752664165098,2017-09-18
32,24,1932,59,1663369887236712,1663369887236712_1960269520880079,2017-09-17
33,5,77,1,1663369887236712,1663369887236712_1959891527584545,2017-09-16
34,2552,2029,919,1663369887236712,1663369887236712_1959811200925911,2017-09-16
35,59,400,63,1663369887236712,1663369887236712_1959073010999730,2017-09-14
36,31,440,31,1663369887236712,1663369887236712_1958682721038759,2017-09-13
37,144,908,126,1663369887236712,1663369887236712_1958275894412775,2017-09-12
38,117,821,507,1663369887236712,1663369887236712_1957909671116064,2017-09-11
39,2,90,4,1663369887236712,1663369887236712_1957793167794381,2017-09-11
40,66,389,56,1663369887236712,1663369887236712_1956540947919603,2017-09-08
41,1961,4860,3767,1663369887236712,1663369887236712_1955499708023727,2017-09-05
42,21,84,5,1663369887236712,1663369887236712_1955338378039860,2017-09-05
43,1623,3617,1840,1663369887236712,1663369887236712_1954938051413226,2017-09-04
44,700,2041,878,1663369887236712,1663369887236712_1954679028105795,2017-09-03
45,79,337,242,1663369887236712,1663369887236712_1953785774861787,2017-09-01
46,2,34,1,1663369887236712,1663369887236712_1953502654890099,2017-08-31
47,27,988,1,1663369887236712,1663369887236712_1953017511605280,2017-08-30
48,30,164,22,1663369887236712,1663369887236712_1952575721649459,2017-08-29
49,274,526,196,1663369887236712,1663369887236712_1952171968356501,2017-08-28
50,5082,5692,5438,1663369887236712,1663369887236712_1951320081775023,2017-08-26
51,37,166,28,1663369887236712,1663369887236712_1950494758524222,2017-08-24
52,7428,18348,23926,1663369887236712,1663369887236712_1949604385279926,2017-08-22
53,21,197,54,1663369887236712,1663369887236712_1949228198650878,2017-08-21
54,371,999,759,1663369887236712,1663369887236712_1948338428739855,2017-08-19
55,165,634,192,1663369887236712,1663369887236712_1947937842113247,2017-08-18
56,27,147,36,1663369887236712,1663369887236712_1947525892154442,2017-08-17
57,2,62,6,1663369887236712,1663369887236712_1947408755499489,2017-08-17
58,184,867,260,1663369887236712,1663369887236712_1947102208863477,2017-08-16
59,63,331,64,1663369887236712,1663369887236712_1946647015575663,2017-08-15
60,11,31,6,1663369887236712,1663369887236712_1946604772246554,2017-08-15
61,267,614,305,1663369887236712,1663369887236712_1945681582338873,2017-08-13
62,79,465,68,1663369887236712,1663369887236712_1945114805728884,2017-08-12
63,5,137,15,1663369887236712,1663369887236712_1944701132436918,2017-08-11
64,7106,23348,19595,1663369887236712,1663369887236712_1943692652537766,2017-08-09
65,43,420,86,1663369887236712,1663369887236712_1943287075911657,2017-08-08
66,80,695,350,1663369887236712,1663369887236712_1942852852621746,2017-08-07
67,139,401,84,1663369887236712,1663369887236712_1941967486043616,2017-08-05
68,23,198,26,1663369887236712,1663369887236712_1940520996188265,2017-08-02
69,166,463,130,1663369887236712,1663369887236712_1940022109571487,2017-08-01
70,9,112,36,1663369887236712,1663369887236712_1939781226262242,2017-07-31
