,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,15,308,22,161818843843444,161818843843444_1902069813151663,2017-10-24
1,6,190,4,161818843843444,161818843843444_1898956773462967,2017-10-22
2,0,68,1,161818843843444,161818843843444_1895627283795916,2017-10-19
3,3,103,3,161818843843444,161818843843444_1884151708276807,2017-10-10
4,1,54,2,161818843843444,161818843843444_1881952508496727,2017-10-08
5,117,600,110,161818843843444,161818843843444_1881523698539608,2017-10-08
6,9,133,3,161818843843444,161818843843444_1879050985453546,2017-10-06
7,10,176,2,161818843843444,161818843843444_1876787092346602,2017-10-04
8,13,120,9,161818843843444,161818843843444_1874654015893243,2017-10-02
9,0,60,15,161818843843444,161818843843444_1873289276029717,2017-10-01
10,8,69,3,161818843843444,161818843843444_1873094879382490,2017-10-01
11,12,45,7,161818843843444,161818843843444_1869167029775275,2017-09-30
12,65,87,23,161818843843444,161818843843444_1871885362836775,2017-09-30
13,8,116,1,161818843843444,161818843843444_1871000256258619,2017-09-29
14,7,420,6,161818843843444,161818843843444_1869799993045312,2017-09-28
15,0,44,1,161818843843444,161818843843444_1868884036470241,2017-09-27
16,14,273,1,161818843843444,161818843843444_1867568229935155,2017-09-26
17,33,281,25,161818843843444,161818843843444_1866990246659620,2017-09-25
18,130,90,29,161818843843444,161818843843444_1864398703585441,2017-09-23
19,0,39,2,161818843843444,161818843843444_1863409540351024,2017-09-22
20,2,74,3,161818843843444,161818843843444_1860985617260083,2017-09-20
21,49,1353,3,161818843843444,161818843843444_1857831177575527,2017-09-17
22,11,72,1,161818843843444,161818843843444_1857423427616302,2017-09-17
23,20,242,2,161818843843444,161818843843444_1856627297695915,2017-09-16
24,8,47,2,161818843843444,161818843843444_1856094521082526,2017-09-16
25,10,146,1,161818843843444,161818843843444_1856286124396699,2017-09-16
26,6,84,1,161818843843444,161818843843444_1856121317746513,2017-09-16
27,8,335,7,161818843843444,161818843843444_1855057547852890,2017-09-15
28,1,56,2,161818843843444,161818843843444_1854861201205858,2017-09-15
29,7,55,2,161818843843444,161818843843444_1853771577981487,2017-09-14
30,4,153,1,161818843843444,161818843843444_1853691307989514,2017-09-14
31,30,212,18,161818843843444,161818843843444_1853121808046464,2017-09-13
32,4,112,7,161818843843444,161818843843444_1851513238207321,2017-09-13
33,7,331,36,161818843843444,161818843843444_1852735608085084,2017-09-13
34,8,146,3,161818843843444,161818843843444_1851953911496587,2017-09-12
35,3,97,6,161818843843444,161818843843444_1848124338546211,2017-09-09
36,22,399,23,161818843843444,161818843843444_1848018255223486,2017-09-09
37,7,170,1,161818843843444,161818843843444_1847321681959810,2017-09-08
38,15,71,2,161818843843444,161818843843444_1847190481972930,2017-09-08
39,4,76,2,161818843843444,161818843843444_1843829828975662,2017-09-07
40,23,202,12,161818843843444,161818843843444_1846294055395906,2017-09-07
41,6,48,3,161818843843444,161818843843444_1845277655497546,2017-09-06
42,70,273,47,161818843843444,161818843843444_1843094552382523,2017-09-05
43,58,137,37,161818843843444,161818843843444_1843949065630405,2017-09-05
44,16,164,1,161818843843444,161818843843444_1843078472384131,2017-09-04
45,23,155,1,161818843843444,161818843843444_1841849429173702,2017-09-03
46,14,322,28,161818843843444,161818843843444_1839461076079204,2017-09-03
47,1,98,2,161818843843444,161818843843444_1841276502564328,2017-09-03
48,7,70,1,161818843843444,161818843843444_1840193416005970,2017-09-02
49,136,130,38,161818843843444,161818843843444_1839259199432725,2017-09-01
50,6,67,1,161818843843444,161818843843444_1839240642767914,2017-09-01
51,205,361,136,161818843843444,161818843843444_1839039229454722,2017-09-01
52,2,35,2,161818843843444,161818843843444_1838845149474130,2017-09-01
53,150,765,117,161818843843444,161818843843444_1837913922900586,2017-08-31
54,0,29,1,161818843843444,161818843843444_1837535436271768,2017-08-31
55,8,128,2,161818843843444,161818843843444_1836572739701371,2017-08-30
56,11,131,2,161818843843444,161818843843444_1836473729711272,2017-08-30
57,0,24,1,161818843843444,161818843843444_1836428666382445,2017-08-30
58,188,120,40,161818843843444,161818843843444_1830895103602468,2017-08-25
59,0,37,1,161818843843444,161818843843444_1830843353607643,2017-08-25
60,6,50,2,161818843843444,161818843843444_1830807610277884,2017-08-25
61,4,264,2,161818843843444,161818843843444_1829549967070315,2017-08-24
62,4,133,1,161818843843444,161818843843444_1826951843996794,2017-08-22
63,30,99,5,161818843843444,161818843843444_1826349430723702,2017-08-21
64,28,236,12,161818843843444,161818843843444_1826226084069370,2017-08-21
65,28,92,1,161818843843444,161818843843444_1822845757740736,2017-08-18
66,14,237,2,161818843843444,161818843843444_1822801667745145,2017-08-18
67,3,61,1,161818843843444,161818843843444_1822480614443917,2017-08-18
68,38,124,33,161818843843444,161818843843444_1819990251359620,2017-08-17
69,35,365,31,161818843843444,161818843843444_1821606881197957,2017-08-17
70,4,110,2,161818843843444,161818843843444_1821453687879943,2017-08-17
71,4,57,19,161818843843444,161818843843444_1820331371325508,2017-08-16
72,17,103,14,161818843843444,161818843843444_1817641234927855,2017-08-14
73,469,196,9,161818843843444,161818843843444_1817969068228405,2017-08-14
74,62,140,1,161818843843444,161818843843444_1816783751680270,2017-08-13
75,106,456,130,161818843843444,161818843843444_1816483938376918,2017-08-13
76,0,51,1,161818843843444,161818843843444_1815432688482043,2017-08-12
77,6,220,9,161818843843444,161818843843444_1814076498617662,2017-08-11
78,8,232,2,161818843843444,161818843843444_1812794552079190,2017-08-10
79,15,124,30,161818843843444,161818843843444_1811909722167673,2017-08-09
80,6,285,1,161818843843444,161818843843444_1808936262465019,2017-08-07
81,4,77,1,161818843843444,161818843843444_1804121126279866,2017-08-03
82,25,267,15,161818843843444,161818843843444_1802294673129178,2017-08-02
83,2,70,5,161818843843444,161818843843444_1801583436533635,2017-08-01
84,13,158,17,161818843843444,161818843843444_1800292926662686,2017-07-31
85,4,281,3,161818843843444,161818843843444_1799951530030159,2017-07-31
