,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,0,146,4,1436860363229411,1436860363229411_1934197283495714,2017-10-26
1,0,162,21,1436860363229411,1436860363229411_1934095193505923,2017-10-26
2,57,330,268,1436860363229411,1436860363229411_1932917160290393,2017-10-24
3,12,240,14,1436860363229411,1436860363229411_1931941553721287,2017-10-21
4,0,20,1,1436860363229411,1436860363229411_1931522567096519,2017-10-21
5,17,186,15,1436860363229411,1436860363229411_1931570983758344,2017-10-20
6,55,440,56,1436860363229411,1436860363229411_1931516123763830,2017-10-20
7,4,81,1,1436860363229411,1436860363229411_1931115360470573,2017-10-19
8,17,180,35,1436860363229411,1436860363229411_1930785483836894,2017-10-18
9,48,361,46,1436860363229411,1436860363229411_1930624477186328,2017-10-18
10,26,248,27,1436860363229411,1436860363229411_1930381767210599,2017-10-17
11,3,107,42,1436860363229411,1436860363229411_1929933547255421,2017-10-16
12,12,263,18,1436860363229411,1436860363229411_1929931500588959,2017-10-16
13,0,507,35,1436860363229411,1436860363229411_1929652890616820,2017-10-15
14,83,540,49,1436860363229411,1436860363229411_1929616227287153,2017-10-15
15,15,194,1,1436860363229411,1436860363229411_1929505213964921,2017-10-15
16,8,49,3,1436860363229411,1436860363229411_1929139380668171,2017-10-14
17,12,181,13,1436860363229411,1436860363229411_1928604457388330,2017-10-12
18,75,591,50,1436860363229411,1436860363229411_1928521784063264,2017-10-12
19,2,98,6,1436860363229411,1436860363229411_1928515624063880,2017-10-12
20,4,77,6,1436860363229411,1436860363229411_1928211800760929,2017-10-12
21,60,359,31,1436860363229411,1436860363229411_1928505510731558,2017-10-12
22,298,1113,178,1436860363229411,1436860363229411_1928386117410164,2017-10-12
23,236,461,203,1436860363229411,1436860363229411_1928062790775830,2017-10-11
24,0,21,3,1436860363229411,1436860363229411_1927791877469588,2017-10-10
25,189,780,168,1436860363229411,1436860363229411_1927699020812207,2017-10-10
26,3,68,4,1436860363229411,1436860363229411_1927343947514381,2017-10-09
27,44,1188,105,1436860363229411,1436860363229411_1926669520915157,2017-10-07
28,0,63,6,1436860363229411,1436860363229411_1926251354290307,2017-10-06
29,453,556,396,1436860363229411,1436860363229411_1925870690995040,2017-10-06
30,6,29,10,1436860363229411,1436860363229411_1925354341046675,2017-10-04
31,89,861,145,1436860363229411,1436860363229411_1925431677705608,2017-10-04
32,35,341,12,1436860363229411,1436860363229411_1925349761047133,2017-10-04
33,4,77,21,1436860363229411,1436860363229411_1925056644409778,2017-10-03
34,37,174,36,1436860363229411,1436860363229411_1924563694459073,2017-10-02
35,2,30,10,1436860363229411,1436860363229411_1924203051161804,2017-10-02
36,0,20,2,1436860363229411,1436860363229411_1924199631162146,2017-10-01
37,200,235,157,1436860363229411,1436860363229411_1923149784600464,2017-09-30
38,17,153,7,1436860363229411,1436860363229411_1923304031251706,2017-09-29
39,163,227,125,1436860363229411,1436860363229411_1922969471285162,2017-09-29
40,16,87,30,1436860363229411,1436860363229411_1922784957970280,2017-09-28
41,87,1032,365,1436860363229411,1436860363229411_1922424208006355,2017-09-27
42,15,124,22,1436860363229411,1436860363229411_1922408991341210,2017-09-27
43,0,62,5,1436860363229411,1436860363229411_1922138001368309,2017-09-26
44,6,104,13,1436860363229411,1436860363229411_1921803238068452,2017-09-25
45,4,30,5,1436860363229411,1436860363229411_1921613084754134,2017-09-25
46,41,377,23,1436860363229411,1436860363229411_1921317174783725,2017-09-24
47,14,268,17,1436860363229411,1436860363229411_1921017348147041,2017-09-23
48,6,167,7,1436860363229411,1436860363229411_1920543514861091,2017-09-23
49,2,65,18,1436860363229411,1436860363229411_1920514301530679,2017-09-22
50,19,170,17,1436860363229411,1436860363229411_1920097141572395,2017-09-21
51,136,1170,228,1436860363229411,1436860363229411_1919836584931784,2017-09-20
52,21,290,9,1436860363229411,1436860363229411_1919805301601579,2017-09-20
53,0,32,5,1436860363229411,1436860363229411_1919374321644677,2017-09-19
54,5,157,10,1436860363229411,1436860363229411_1917844545130988,2017-09-15
55,6,108,7,1436860363229411,1436860363229411_1917143175201125,2017-09-14
56,0,23,2,1436860363229411,1436860363229411_1917188868529889,2017-09-13
57,115,163,67,1436860363229411,1436860363229411_1917132715202171,2017-09-13
58,6,99,7,1436860363229411,1436860363229411_1916426845272758,2017-09-12
59,1,72,10,1436860363229411,1436860363229411_1916379665277476,2017-09-11
60,12,239,10,1436860363229411,1436860363229411_1916217011960408,2017-09-10
61,2,97,6,1436860363229411,1436860363229411_1915664195349023,2017-09-09
62,9,103,11,1436860363229411,1436860363229411_1915322745383168,2017-09-08
63,8,75,16,1436860363229411,1436860363229411_1914985592083550,2017-09-07
64,2,68,1,1436860363229411,1436860363229411_1914552148793561,2017-09-06
65,19,298,23,1436860363229411,1436860363229411_1914140005501442,2017-09-05
66,17,262,23,1436860363229411,1436860363229411_1913819012200208,2017-09-04
67,62,502,49,1436860363229411,1436860363229411_1913807588868017,2017-09-04
68,20,171,37,1436860363229411,1436860363229411_1913406978908078,2017-09-03
69,8,233,10,1436860363229411,1436860363229411_1913050585610384,2017-09-02
70,3,287,19,1436860363229411,1436860363229411_1913045015610941,2017-09-02
71,4,66,3,1436860363229411,1436860363229411_1912541495661293,2017-09-01
72,536,1587,266,1436860363229411,1436860363229411_1912052139043562,2017-08-31
73,10,92,12,1436860363229411,1436860363229411_1912047189044057,2017-08-31
74,12,261,20,1436860363229411,1436860363229411_1911623722419737,2017-08-30
75,1167,2620,1612,1436860363229411,1436860363229411_1911246309124145,2017-08-29
76,77,704,66,1436860363229411,1436860363229411_1910863245829118,2017-08-28
77,16,265,10,1436860363229411,1436860363229411_1910670595848383,2017-08-28
78,1004,3415,2660,1436860363229411,1436860363229411_1910517679197008,2017-08-27
79,6,254,16,1436860363229411,1436860363229411_1910518792530230,2017-08-27
80,99,185,83,1436860363229411,1436860363229411_1909301452651964,2017-08-26
81,40,493,39,1436860363229411,1436860363229411_1910093615906081,2017-08-26
82,2,159,3,1436860363229411,1436860363229411_1910083205907122,2017-08-26
83,31,185,12,1436860363229411,1436860363229411_1909872962594813,2017-08-25
84,3,97,11,1436860363229411,1436860363229411_1909083512673758,2017-08-25
85,59,826,59,1436860363229411,1436860363229411_1909722205943222,2017-08-25
86,37,321,15,1436860363229411,1436860363229411_1909476479301128,2017-08-24
87,17,611,17,1436860363229411,1436860363229411_1908897632692346,2017-08-24
88,1914,8011,3739,1436860363229411,1436860363229411_1909324409316335,2017-08-24
89,51,543,66,1436860363229411,1436860363229411_1909055686009874,2017-08-23
90,2,69,2,1436860363229411,1436860363229411_1908867832695326,2017-08-23
91,3,92,9,1436860363229411,1436860363229411_1908616999387076,2017-08-22
92,2,318,19,1436860363229411,1436860363229411_1908475502734559,2017-08-22
93,0,82,12,1436860363229411,1436860363229411_1908277839420992,2017-08-21
94,11,252,12,1436860363229411,1436860363229411_1908082559440520,2017-08-21
95,3,80,4,1436860363229411,1436860363229411_1908058786109564,2017-08-21
96,0,64,6,1436860363229411,1436860363229411_1907693692812740,2017-08-20
97,1,41,4,1436860363229411,1436860363229411_1907318712850238,2017-08-19
98,45,221,23,1436860363229411,1436860363229411_1907313822850727,2017-08-19
99,58,421,47,1436860363229411,1436860363229411_1906971736218269,2017-08-18
100,82,756,93,1436860363229411,1436860363229411_1906419966273446,2017-08-17
101,6,115,9,1436860363229411,1436860363229411_1906620342920075,2017-08-17
102,92,476,36,1436860363229411,1436860363229411_1906273386288104,2017-08-16
103,39,308,25,1436860363229411,1436860363229411_1905560126359430,2017-08-14
104,3,58,2,1436860363229411,1436860363229411_1905477946367648,2017-08-14
105,4,317,100,1436860363229411,1436860363229411_1905096266405816,2017-08-13
106,0,1115,11,1436860363229411,1436860363229411_1904746509774125,2017-08-12
107,0,28,2,1436860363229411,1436860363229411_1904447613137348,2017-08-11
108,1028,2835,2769,1436860363229411,1436860363229411_1904395786475864,2017-08-11
109,176,1503,143,1436860363229411,1436860363229411_1904260783156031,2017-08-11
110,25,248,31,1436860363229411,1436860363229411_1903891623192947,2017-08-10
111,82,671,85,1436860363229411,1436860363229411_1903922879856488,2017-08-10
112,42,313,23,1436860363229411,1436860363229411_1903678303214279,2017-08-09
113,37,380,63,1436860363229411,1436860363229411_1903597696555673,2017-08-09
114,2,221,4,1436860363229411,1436860363229411_1903177056597737,2017-08-08
115,229,1304,190,1436860363229411,1436860363229411_1902613569987419,2017-08-07
116,13,238,18,1436860363229411,1436860363229411_1902469163335193,2017-08-06
117,7,205,15,1436860363229411,1436860363229411_1902187050030071,2017-08-05
118,3,19,1,1436860363229411,1436860363229411_1902169270031849,2017-08-05
119,2,68,3,1436860363229411,1436860363229411_1902061310042645,2017-08-05
120,16,326,47,1436860363229411,1436860363229411_1901999143382195,2017-08-05
121,321,2500,598,1436860363229411,1436860363229411_1901773073404802,2017-08-04
122,2,356,27,1436860363229411,1436860363229411_1901638906751552,2017-08-04
123,370,1497,344,1436860363229411,1436860363229411_1901144476800995,2017-08-03
124,12,87,41,1436860363229411,1436860363229411_1900839976831445,2017-08-03
125,3,75,6,1436860363229411,1436860363229411_1900790546836388,2017-08-03
126,3,24,1,1436860363229411,1436860363229411_1901008443481265,2017-08-03
127,4,45,6,1436860363229411,1436860363229411_1900831996832243,2017-08-02
128,0,33,5,1436860363229411,1436860363229411_1900758823506227,2017-08-02
129,322,1621,668,1436860363229411,1436860363229411_1900698973512212,2017-08-02
130,37,272,22,1436860363229411,1436860363229411_1900690483513061,2017-08-02
131,212,774,231,1436860363229411,1436860363229411_1899350130313763,2017-08-01
132,15,29,3,1436860363229411,1436860363229411_1900340833548026,2017-08-01
133,47,399,29,1436860363229411,1436860363229411_1900279836887459,2017-08-01
134,40,170,48,1436860363229411,1436860363229411_1900076396907803,2017-07-31
135,3,49,9,1436860363229411,1436860363229411_1899967746918668,2017-07-31
