,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,2,23,8,1886953594900349,1886953594900349_1944660209129687,2017-10-27
1,10,103,15,1886953594900349,1886953594900349_1943368642592177,2017-10-23
2,14,75,17,1886953594900349,1886953594900349_1942915682637473,2017-10-22
3,6,48,10,1886953594900349,1886953594900349_1942836449312063,2017-10-22
4,3,20,10,1886953594900349,1886953594900349_1942550832673958,2017-10-21
5,279,1066,1035,1886953594900349,1886953594900349_1942431802685861,2017-10-21
6,2,18,5,1886953594900349,1886953594900349_1942135449382163,2017-10-20
7,1240,1574,1841,1886953594900349,1886953594900349_1941363726126002,2017-10-18
8,56,192,82,1886953594900349,1886953594900349_1940988136163561,2017-10-17
9,5,51,4,1886953594900349,1886953594900349_1939859059609802,2017-10-14
10,11,93,16,1886953594900349,1886953594900349_1938227863106255,2017-10-10
11,13,148,22,1886953594900349,1886953594900349_1937936309802077,2017-10-09
12,4,41,2,1886953594900349,1886953594900349_1937471929848515,2017-10-08
13,14,51,30,1886953594900349,1886953594900349_1935349900060718,2017-10-02
14,0,25,1,1886953594900349,1886953594900349_1934958080099900,2017-10-01
15,55,143,66,1886953594900349,1886953594900349_1933682500227458,2017-09-28
16,93,238,142,1886953594900349,1886953594900349_1933334623595579,2017-09-27
17,135,540,150,1886953594900349,1886953594900349_1932526127009762,2017-09-26
18,32,257,55,1886953594900349,1886953594900349_1932528457009529,2017-09-25
19,15,89,32,1886953594900349,1886953594900349_1932250617037313,2017-09-24
20,2,38,3,1886953594900349,1886953594900349_1930549913874050,2017-09-20
21,0,24,1,1886953594900349,1886953594900349_1929775103951531,2017-09-18
22,78,304,59,1886953594900349,1886953594900349_1928830014046040,2017-09-16
23,3,53,5,1886953594900349,1886953594900349_1925155154413526,2017-09-13
24,9,70,20,1886953594900349,1886953594900349_1923303631265345,2017-09-02
25,699,728,738,1886953594900349,1886953594900349_1923005917961783,2017-09-01
26,64,173,43,1886953594900349,1886953594900349_1922817677980607,2017-09-01
27,1,30,2,1886953594900349,1886953594900349_1922387651356943,2017-08-31
28,98,133,84,1886953594900349,1886953594900349_1922080621387646,2017-08-30
29,24,194,53,1886953594900349,1886953594900349_1921543221441386,2017-08-29
30,3959,3621,3688,1886953594900349,1886953594900349_1920321314896910,2017-08-26
31,83,204,83,1886953594900349,1886953594900349_1919688034960238,2017-08-24
32,170,371,174,1886953594900349,1886953594900349_1919220415007000,2017-08-23
33,39,148,38,1886953594900349,1886953594900349_1917350748527300,2017-08-18
34,2,33,2,1886953594900349,1886953594900349_1916504371945271,2017-08-16
35,9,56,9,1886953594900349,1886953594900349_1914376038824771,2017-08-11
36,72,708,71,1886953594900349,1886953594900349_1913519478910427,2017-08-09
37,1,32,1,1886953594900349,1886953594900349_1912774178984957,2017-08-08
38,75,404,87,1886953594900349,1886953594900349_1912760645652977,2017-08-07
39,0,21,1,1886953594900349,1886953594900349_1911817059080669,2017-08-05
40,0,191,5,1886953594900349,1886953594900349_1911416939120681,2017-08-04
