,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,0,44,4,464171817085120,464171817085120_857217481113883,2017-10-26
1,0,30,5,464171817085120,464171817085120_853245311511100,2017-10-17
2,3,27,2,464171817085120,464171817085120_852786564890308,2017-10-16
3,0,47,1,464171817085120,464171817085120_852600378242260,2017-10-16
4,1,38,4,464171817085120,464171817085120_851823724986592,2017-10-14
5,0,35,2,464171817085120,464171817085120_851205585048406,2017-10-13
6,2,39,26,464171817085120,464171817085120_850459585123006,2017-10-11
7,18,64,1,464171817085120,464171817085120_847366735432291,2017-10-04
8,1,15,2,464171817085120,464171817085120_847059338796364,2017-10-03
9,0,26,1,464171817085120,464171817085120_845704915598473,2017-09-30
10,460,530,342,464171817085120,464171817085120_844727525696212,2017-09-28
11,10,67,1,464171817085120,464171817085120_843411859161112,2017-09-25
12,2,20,1,464171817085120,464171817085120_842624222573209,2017-09-23
13,1,38,4,464171817085120,464171817085120_842230385945926,2017-09-22
14,0,20,2,464171817085120,464171817085120_841657126003252,2017-09-21
15,334,435,256,464171817085120,464171817085120_840864546082510,2017-09-19
16,7,67,1,464171817085120,464171817085120_840738872761744,2017-09-19
17,4,42,1,464171817085120,464171817085120_840461102789521,2017-09-18
18,0,59,7,464171817085120,464171817085120_838749086294056,2017-09-14
19,0,35,2,464171817085120,464171817085120_838256503009981,2017-09-13
20,2,44,7,464171817085120,464171817085120_837886626380302,2017-09-12
21,598,741,498,464171817085120,464171817085120_837407669761531,2017-09-11
22,2,43,3,464171817085120,464171817085120_837387019763596,2017-09-11
23,0,36,1,464171817085120,464171817085120_836899363145695,2017-09-10
24,3,43,1,464171817085120,464171817085120_836798349822463,2017-09-10
25,1,41,5,464171817085120,464171817085120_836150863220545,2017-09-08
26,8,115,24,464171817085120,464171817085120_835718106597154,2017-09-07
27,0,32,1,464171817085120,464171817085120_834850130017285,2017-09-05
28,2,62,7,464171817085120,464171817085120_833586846810280,2017-09-02
29,1,30,4,464171817085120,464171817085120_832645800237718,2017-08-31
30,1,23,1,464171817085120,464171817085120_831764663659165,2017-08-29
31,4,51,29,464171817085120,464171817085120_831591323676499,2017-08-29
32,1,45,4,464171817085120,464171817085120_830919383743693,2017-08-27
33,2,39,8,464171817085120,464171817085120_829546467214318,2017-08-25
34,53,170,32,464171817085120,464171817085120_824900147678950,2017-08-14
35,14,46,2,464171817085120,464171817085120_824898711012427,2017-08-14
36,0,33,1,464171817085120,464171817085120_822998481202450,2017-08-10
37,332,452,266,464171817085120,464171817085120_821988391303459,2017-08-08
38,0,37,5,464171817085120,464171817085120_818710884964543,2017-08-01
39,0,30,6,464171817085120,464171817085120_818360861666212,2017-07-31
