,comment_body,page_id,post_id,user_id
0,กูสงสารวะ,366743047016721,443407605824138_652537928244437,443407605824138
1,Phinphorn Amonpantang Pongsit Oadgeo Chongrueanglap Ratthapon Noosri Nontnarit Kookai Pornpechrassameekul Jhujhu Piyapongpanผู้ชายคนนี้ให้เท่าไหรดีค่ะ,366743047016721,443407605824138_652537928244437,10204489811477163
2,Faii Suwatjanapornpong,366743047016721,443407605824138_652537928244437,10152384822945881
3,ขอลิงค์เพจน้องเขาหน่อยจิ,366743047016721,443407605824138_523942181104013,443407605824138
4,ชอบคับ ขอเบอร์หน่อยๆ :),366743047016721,443407605824138_523942181104013,10152305026813654
5,ป๊อกขอเบอร์ออกสื่อ แฟนไม่ว่าหรอ หุหุ,366743047016721,443407605824138_523942181104013,10154877195620300
6,Admin เล่นง่ายนะ เอาโต๊ะข้างๆ,366743047016721,443407605824138_523942181104013,10154877195620300
7,เจ๊จุ๊บอกว่า,366743047016721,443407605824138_523942181104013,888952441121428
8,เพิ่งเหน 555555,366743047016721,443407605824138_505001466331418,10152672609939669
9,5555,366743047016721,443407605824138_505001466331418,777911452257065
10,เมืองไทยประกันชีวิตมากคะ,366743047016721,443407605824138_505001466331418,10204489811477163
11,ฝากขายน่อย ขายๆๆๆๆๆถูกๆๆๆๆๆ,366743047016721,443407605824138_504507623047469,866681226677611
12,เห็นฟีดแบกแรงแบบนี้ แอดมินชักอยากลงรูปน่ารักๆของน้องมุกเพิ่มละ!!!,366743047016721,443407605824138_488420091322889,443407605824138
13,,366743047016721,443407605824138_488420091322889,443407605824138
14,น้ำขึ้นให้รีบตัก รู้สึกรักให้รีบบอก โอ้วมายก้อดดดดด มันเยี่ยม,366743047016721,443407605824138_488420091322889,10153216866196912
15,ดีกรี Miss ERE นะครัช:),366743047016721,443407605824138_488420091322889,10157306759315282
16,น่ารักจังเลย ขอเบอร์ได้มั้ยครับ😍,366743047016721,443407605824138_488420091322889,10154146242535177
17,มุกกี้นี่มีคนมาไลค์เยอะสุดเลยนะครัช ป๊อปสุดในเอนโก้เลย,366743047016721,443407605824138_488420091322889,10154967083233099
18,#ทีมมุกกี้ 55,366743047016721,443407605824138_488420091322889,2069360339748218
19,ฮ่าๆๆๆ สาวป๊อปนี่หว่า!!!!!,366743047016721,443407605824138_488420091322889,10152024683386854
20,ว้าวๆ,366743047016721,443407605824138_488420091322889,10153290719848056
21,ฮิ้วว,366743047016721,443407605824138_488420091322889,10204471995574757
22,น่าร้อกกกกก,366743047016721,443407605824138_488420091322889,10152988024271054
23,เก่งจัง,366743047016721,443407605824138_488420091322889,578941165581081
24,ฮั่ยยยยย่ะ ^^,366743047016721,443407605824138_488420091322889,10152785541350846
25,Wow😍,366743047016721,443407605824138_488420091322889,804615372896120
26,hot จริงๆ 😍,366743047016721,443407605824138_488420091322889,10154967083233099
27,โอ้ววววววววว มุกอ้วน,366743047016721,443407605824138_488420091322889,10152496070100146
28,ว้าว ว้าว ว้าวววว,366743047016721,443407605824138_488420091322889,10153042294892388
29,มุกกี้แซ่บรึป่าวนะคนนี้อ่ะ Kantaphon Temaismithi Pitipong Boy Niyombundit,366743047016721,443407605824138_488420091322889,10153247718257203
30,<3,366743047016721,443407605824138_488420091322889,10153290719848056
31,Nuttawat Niick,366743047016721,443407605824138_488420091322889,10205514527959882
32,น่าร๊ากสุดๆ คนนี้ คอนเฟิร์มมม!,366743047016721,443407605824138_485163601648538,10154138447569854
33,Yui Pecharatana ขอบคุณค่าาาาาาา สาวสวิสมารายงานตัว 5555555 แต่บิวคิดถึงEncoมากอ่ะ ^^,366743047016721,443407605824138_485163601648538,10153241993856885
34,น่ารักจุงเบยยย,366743047016721,443407605824138_485163601648538,10203371969399237
35,Be Beau เฮฮฮฮ,366743047016721,443407605824138_485163601648538,10153065372803179
36,สองมือล้วงกระเป๋า สองเท้าก้าวเข้ามา 55555,366743047016721,443407605824138_485163601648538,10152775304926892
37,น่ารักอ่ะ Be Beau,366743047016721,443407605824138_485163601648538,10154893623530711
38,ใคร ค่ะ,366743047016721,443407605824138_483343435163888,443407605824138
39,รู้ตัวแอดมินที่โพสเลยงิ,366743047016721,443407605824138_483343435163888,10152294043136275
40,หวายๆๆๆๆ ^^,366743047016721,443407605824138_482381475260084,10152785541350846
41,The best!,366743047016721,443407605824138_482381475260084,10152530358462946
42,ตามมาเลิฟ ตามมาไลน์ 55,366743047016721,443407605824138_482381475260084,10205154023633085
43,น่าจะเป็นคนขวานะค่ะ,366743047016721,443407605824138_482228998608665,443407605824138
44,Ceo PTTEP คนต่อไปเป็นใครอ่ะ,366743047016721,443407605824138_482228998608665,10204389844695088
45,กรุไม่ยอมรับตรงคำว่าหล่อสุดในรุ่น,366743047016721,443407605824138_479960398835525,443407605824138
46,ขุดขุด,366743047016721,443407605824138_479960398835525,10202344465972875
47,กุรู้เลยใคนแอดมิน,366743047016721,443407605824138_479960398835525,10152609769967987
48,พี่เล้งงงงงงงงงงงงงงงงงงง ฮิ้ววววววววววววว,366743047016721,443407605824138_479960398835525,10153241993856885
49,http://www.bangkokbiznews.com/mobile/view/blog/634626,366743047016721,443407605824138_478985632266335,443407605824138
50,แหม่ เรื่องชิลเชียว ไหนๆก็ไหนๆ ขอลิงค์รายละเอียดด้วยสิคะทีมงาน,366743047016721,443407605824138_478985632266335,10154877195620300
51,แอดมินน่ารักจริงๆ ข่าวร้อนอย่างนี้ มาโพสไวเลย 👍,366743047016721,443407605824138_478985632266335,10154877195620300
52,อย่าเล่นคับ อย่าเล่น,366743047016721,443407605824138_478418915656340,443407605824138
53,ตัวจิงหล่อกว่านี้นะ,366743047016721,443407605824138_478418915656340,443407605824138
54,ช่วยเม้นต์เรียก like เพิ่มแข่งกะแมวหน่อย ^^,366743047016721,443407605824138_478418915656340,10152249172886065
55,ปีนยังไงอ้าหล่นมาหลังหัก ที่นั่นไม่เซฟตี้เลยอ่ะ น่าเห็นใจพี่โอ๊ต😂,366743047016721,443407605824138_478418915656340,10205149346307193
56,"Axe Wisit เรียกทำไม ตะกี้ยืนดูแอดมินลงรูปอยู่ 555
Pacharaporn Navasumrit นี่ใช่ผชที่นั่งทำงานข้างๆมายรึเปล่า",366743047016721,443407605824138_478418915656340,10152249172886065
57,กรี๊ดดดด เกิดพร้อมบริษัทเลย,366743047016721,443407605824138_478418915656340,10152196893362116
58,55555555 เชียร์คนนี้,366743047016721,443407605824138_478418915656340,893600560692414
59,หล่อเหลือคนนี้,366743047016721,443407605824138_478418915656340,10152609769967987
60,สาระแน ยกล้อ เค้าเปิดรับสมัครตำแหน่งคนดามใจอยู่นะ,366743047016721,443407605824138_478418915656340,10152249172886065
61,Jantakan Srisuriyon,366743047016721,443407605824138_478418915656340,10153356279916979
62,"55555555555
เกรียนเนอะ 😛😂",366743047016721,443407605824138_477109249120640,10152581551568800
63,แอดมินKolaนี่ใช่คนเดียวกับที่60ไลคป่าวครับ,366743047016721,443407605824138_476369972527901,443407605824138
64,มึงสินะจองน่ะ Kolawat Puay Swasdiphanich,366743047016721,443407605824138_476369972527901,638496396230218
65,Ana Sam Kraten คริคริ,366743047016721,443407605824138_476369972527901,10152801945901539
66,สาธุครับ แอดมินนน,366743047016721,443407605824138_476030309228534,1130834563608665
67,มึงลงทำไมมีเมียแล้ว,366743047016721,443407605824138_474796189351946,10154146242535177
68,เพจนี้ไม่ได้ลงแต่คนโสดหาคู่หรอ,366743047016721,443407605824138_474796189351946,10154877195620300
69,รอให้ลง Sirada Ning Asawachaisujja อยู่นะค๊าบบบบ,366743047016721,443407605824138_474796189351946,10153075636918794
70,Nutchapon Kachondham แอดมินสายสวยดุ,366743047016721,443407605824138_474796189351946,10152648634310609
71,Kulthalin Poonsripattana เพื่อนเค้าน่าร๊ากกกก อิอิ,366743047016721,443407605824138_474698896028342,10152801945901539
72,Kulthalin Poonsripattana,366743047016721,443407605824138_474698896028342,10154982462423504
73,Tarid Sinsawat จีบเค้าซักทีเสะ,366743047016721,443407605824138_474698896028342,810469608971201
74,เเอ๊ดมินเคยชิมเเล้วค่ะ จริง,366743047016721,443407605824138_474407672724131,443407605824138
75,รวยมากด้วยครับ แต่งตัวทีเป็นหลักแสน,366743047016721,443407605824138_474407672724131,771278902957413
76,เหย พี่แมววววว,366743047016721,443407605824138_474407672724131,10152886162114935
77,แซ่บแท้คร้าบ,366743047016721,443407605824138_474407672724131,10152560263574211
78,หล่อสลัดเรยครัช,366743047016721,443407605824138_474407672724131,1489857521028413
79,Axe Wisit เสนอคนนี้ค่ะ PBP/R ส่งเข้าประกวดค่ะ,366743047016721,443407605824138_474407672724131,10152249172886065
80,แอดมินครับ คนต่อไป ขอรีเควซคนนี้ครับ Jantakan Srisuriyon สวยและรวยมากกกก,366743047016721,443407605824138_474407672724131,10153356279916979
81,หน้าตาดีแม้ไม่มีรถขับ,366743047016721,443407605824138_474407672724131,825354807506589
82,เชรดดดดดดดดด เพิ่งเห็น,366743047016721,443407605824138_474407672724131,10152249172886065
83,#ทีมจันทกานต์,366743047016721,443407605824138_474407672724131,825354807506589
84,ชอบคำบรรยายมาก,366743047016721,443407605824138_474407672724131,10152925955538075
85,เชียร์ๆ,366743047016721,443407605824138_474407672724131,965520890145598
86,บรรเทิงหมั้ยละสึด Gunn Kositchaiwat  555,366743047016721,443407605824138_474407672724131,10152866875776486
87,บรรเทิงเจงเจงครัส Gunn Kositchaiwat,366743047016721,443407605824138_474407672724131,10152866875776486
88,ดีข่า แอดมิน,366743047016721,443407605824138_474372606060971,10153318526297004
89,สวยครัช Warm Natawan Sittipolkul,366743047016721,443407605824138_473958886102343,1489857521028413
90,ดังใหญ่ละ,366743047016721,443407605824138_473958886102343,10153184508581095
91,หล่อมากค่ะ อยากได้,366743047016721,443407605824138_474041106094121,443407605824138
92,หล่อจริงจริง หล่อจริงจริง หล่อจริงจริง,366743047016721,443407605824138_474041106094121,443407605824138
93,โหดมากครับวิศิษ ลงผม + ถอดจากแอดมิน T T,366743047016721,443407605824138_474041106094121,10152196893362116
94,พี่ป๋วยยยย หล่อขนาดนี้ยังไม่มีแฟนเป็นไปได้ไง,366743047016721,443407605824138_474041106094121,10152925955538075
95,เกษตรอินทรีย์ โพสไม่ได้ได้ไงว้า,366743047016721,443407605824138_474041106094121,10153065372803179
96,Sawaay Jaa Nattapong Lertrojanachusit    มีน้องหล่อต้องช่วยส่งเสริมคะ 😚😚,366743047016721,443407605824138_474041106094121,10203153699295600
97,555555 โคตรฮาาา,366743047016721,443407605824138_474041106094121,852616594772824
98,เจ๋งอะ เหมือนศิลปินเจงๆๆ,366743047016721,443407605824138_474041106094121,1674277179479097
99,Kolawat Puay Swasdiphanich 555,366743047016721,443407605824138_474041106094121,10154982462423504
100,Oat Sethawut หล่ออะ,366743047016721,443407605824138_472101316288100,10204489811477163
101,โทดๆ *เป๋าตุง,366743047016721,443407605824138_471713062993592,443407605824138
102,คอนเซป - หล่อ ล่ำ บึ้ก สปอร์ต เป้าตุง,366743047016721,443407605824138_471713062993592,443407605824138
103,"แอดมินลงรายละเอียดด้วยสิ ไหนๆก็ไหนๆ คนสนใจจะได้ตามถูก 555
ป.ล. ต้องมีคนเชื่อว่าเป็นตุ้ดแน่ สรุปเป็นตุ้ดหรอ",366743047016721,443407605824138_471713062993592,10154877195620300
104,"5555 นี่มันเพจหาคู่ชัดๆ
เสียดายจุง",366743047016721,443407605824138_471713062993592,10152581551568800
105,อีซีแน่ๆๆ 5555 ผมนี่ดูแต่เป้า,366743047016721,443407605824138_471713062993592,10105363407764724
106,คิงหรือควีนค๊ะคนนี้?,366743047016721,443407605824138_471713062993592,10154185560545245
107,ไม่ใช่แค่หล่ออย่างเดียว แต่เงินถึงด้วย,366743047016721,443407605824138_471713062993592,810469608971201
108,หล่ออะ,366743047016721,443407605824138_471713062993592,10152804337098544
109,มีคนแกล้งสินะ,366743047016721,443407605824138_471713062993592,10152691470339872
110,เอ้า อัญเชิญ Sarun Bom Torsok Namuangrak Pitipong Boy Niyombundit Karn Jitprawat Pawan Skpkkt Benz Sutee Namwhan Sukumpeeranont,366743047016721,443407605824138_471713062993592,1601238266563738
111,Toon Pavalin Khun Thum Si Zee Kung,366743047016721,443407605824138_471713062993592,10204261327391938
112,แอร์ ถ้าจะให้ลบก็บอกนะ,366743047016721,443407605824138_470108229820742,443407605824138
113,ไรมึง จำผัวไม่ได้เลยหรอ,366743047016721,443407605824138_470108229820742,443407605824138
114,พอจะเดาออกเเระใครเป็นเเอ๊ดมิน,366743047016721,443407605824138_470108229820742,10152804337098544
115,หนูชักเริ่มอายละอะ55555555555,366743047016721,443407605824138_470108229820742,897837723561519
116,คนต่อไปขอ Sirada Ning Asawachaisujja นะคับ 🙋🙋🙋,366743047016721,443407605824138_470108229820742,10153075636918794
117,แหม่ น่ารักจังเรย,366743047016721,443407605824138_470108229820742,10153290719848056
118,แนะนำน้อง Wongsakorn Choowala ด้วยคร๊าบบ น้องโสดมานานนนน 😆,366743047016721,443407605824138_470108229820742,10152581551568800
119,Tuikub Sirichawalrat ก็โดนพี่ทิ้งมาเกือบปีเเล้วเนี่ย,366743047016721,443407605824138_470108229820742,10152804337098544
120,Air Nakrub สงสัยวันหลังต้องกริ๊ดๆๆน้องแอร์มั่งละ 55,366743047016721,443407605824138_470108229820742,901101996601291
121,ค่ะ,366743047016721,443407605824138_470108229820742,10152804337098544
