,comment_body,page_id,post_id,user_id
0,ไม่ตัดขนจมูกหน่อยวะ,366743047016721,208067196022874_858050647691189,904326152954494
1,...,366743047016721,208067196022874_858050647691189,955477591146724
2,ดูแต่ขนจมูกครับ,366743047016721,208067196022874_858050647691189,803074983096477
3,เราจะไม่คุยกับนาย จนกว่านายจะไปตัดขนจมูกเป็นรองทรง...,366743047016721,208067196022874_858050647691189,234285083433111
4,อร่อยนะถ้าไม่มัขนจมูก แพรม ออกมา,366743047016721,208067196022874_858050647691189,726813540735293
5,Chaitad Sappanyadee Napat Kiatkwankul Blahboom Wisarut Homhuan Panuwat Denice Inthawat มึงว่าถ้าเรารีวิวร้านปิ้งย่างที่เขมร จะเกิดไรขึ้น,366743047016721,208067196022874_856182577877996,10203496735328164
6,อนุพงษ์ ชื่นชม เอ้ย ชอบความป่าเถื่อน,366743047016721,208067196022874_856182577877996,962959967065651
7,Nakarin Saengsastra. ว่าจะส่งคนไปกระทืบลูกค้าที่รีวิว เวย์ พอดีเลยครับ,366743047016721,208067196022874_856182577877996,10154654190445226
8,กินที่ไหนไม่ถูกใจ เงียบๆไว้เปนดี,366743047016721,208067196022874_856182577877996,166984700400142
9,ตาย่านแท้,366743047016721,208067196022874_856182577877996,1128981550473499
10,...เจ้าของร้านโดนแซะ......,366743047016721,208067196022874_856182577877996,614605711981904
11,โคตร.... เลว,366743047016721,208067196022874_856182577877996,10153285544968767
12,อ้าว ก็ไม่อร่อยและจะให้พูดว่าอร่อย เฮ่อๆ,366743047016721,208067196022874_856182577877996,1519848618260276
13,จากการปรับปรุงคุณภาพเป็นปิดร้านนอนคุก เอ้อ,366743047016721,208067196022874_856182577877996,829006173785294
14,ถ้าอยากให้อร่อยลูกค้าติดใจต้องใส่กระโหลกหมาในหม้อน้ำซุปคับ😁😁,366743047016721,208067196022874_856182577877996,353020231546650
15,แอดทำประกันยัง ทำกับผมไหม ไม่ตรวจโรค ไม่ถามสุขภาพสักกกคำ และไม่ต้องถามด้วยว่าจะได้เบี้ยประกันจริงป่าว,366743047016721,208067196022874_856182577877996,1516580615258849
16,Thepsirin Kunmee อยู่ยากละพี่ 555555,366743047016721,208067196022874_856182577877996,864635243603862
17,อร่อยทุกร้านเลยคร่าาาาาาาา Nattawut Nero,366743047016721,208067196022874_856182577877996,679460875433086
18,อรนัท จันทร์เกาะ ร้านแถวหลังแสงไทยเค้าจะส่งคนมากะทืบมั้ยอะ กัวกัว,366743047016721,208067196022874_856182577877996,190062181448152
19,Art Bassanada อ่านเจออันนี้เลยนึกขึ้นได้ว่าเพิ่งคุยเรื่องสายเนื้อกับพี่ไป 5555,366743047016721,208067196022874_856182577877996,958516230841271
20,พวกนี้แม่งตลก เค้าพูดความจริงติเพื่อให้ปรับปรุง เสือกไม่ยอมรับ เคยไปกินอาหารทะเลร้านนึงแถว ถ.กาญจนาภิเษก ก็มันไม่อร่อยเลย เราไปคอมเม้นติว่า แม่งลบโพสเราเฉย,366743047016721,208067196022874_856182577877996,773870035981802
21,Alena ระงังนะตูด ไปลบเม้นกันเถอะะะ,366743047016721,208067196022874_856182577877996,10152308902147036
22,Yok Suiteeruk ร้านไหนไม่อร่อยคุยในไลน์เนอะ กลัวววว,366743047016721,208067196022874_856182577877996,10204366896405511
23,Sue Ph Dew Tanda Vanitj เอาบ้างมั้ย? เวลาคน review ร้านแย่ 555555,366743047016721,208067196022874_856182577877996,10154204950482228
24,อร่อยครับพี่ แซ่บครับผม เหมาะสมครับท่าน แผล่บๆๆ,366743047016721,208067196022874_856182577877996,140561246280966
25,ผมกลัวเเอดโดนมากก่า ย้อเย่นนนนน😂😂😂,366743047016721,208067196022874_856182577877996,1541595229420656
26,แอดมินเพจนี่น่าโดนกว่าป่ะ,366743047016721,208067196022874_856182577877996,1397134260611882
27,อันนี้ฮา,366743047016721,208067196022874_856182577877996,849781785040087
28,Blue pumpkin,366743047016721,208067196022874_856182577877996,675246169217592
29,Yham' Warr ปากอย่างกูนี่จะโดนกี่ตีน 5555,366743047016721,208067196022874_856182577877996,910675458958680
30,Pittawat ดีนะที่ร้านห่วยๆที่มึงรีวิวไม่ส่งคนมา 55555,366743047016721,208067196022874_856182577877996,620347468062361
31,เดช แซ่เพชร รีวิวเกินจิงระวังต่ะ,366743047016721,208067196022874_856182577877996,4499397379851
32,Offz Devilisalviaz ให้คะแนนน้อยก็ระวังหน่อยนะ 😏,366743047016721,208067196022874_856182577877996,1250432638316804
33,Inthuon Ounsamer  อย่างโหดดด อย่าทำเด้ออีหล้าา 5555555,366743047016721,208067196022874_856182577877996,772007526219656
34,พีค,366743047016721,208067196022874_856182577877996,589603234524347
35,ไปปะ แกเบรียล Gabby Gabriel,366743047016721,208067196022874_856182577877996,10152707738683775
36,"Soemsuk ร้านมึงอย่าทำแบบนี้นะ

Anak BeatChizzMinibread",366743047016721,208067196022874_856182577877996,10152834283511142
37,Gunn Pongpat ระวังเด้อพี่ 555,366743047016721,208067196022874_856182577877996,10204571064051626
38,Atit Pongsak Tara Thanteeratham Brank Kantapat Tanat Napatchaipond,366743047016721,208067196022874_856182577877996,10205101994366512
39,Muchshima Prihuyan ปากแมวอย่างจะรอดไหม?,366743047016721,208067196022874_856182577877996,530898667046398
40,Mate Jindaluck Nong Chuem Siriwimon Chuenthonglang ระวังไว้นะ,366743047016721,208067196022874_856182577877996,740698449328975
41,Saowanee Suesat ระวังนะแก 55555555,366743047016721,208067196022874_856182577877996,961233320570156
42,เอิ่ม Viritpol Jongchotsirikul  หมีระวังนะ,366743047016721,208067196022874_856182577877996,994519683907073
43,Praew Praaoเสียว 555,366743047016721,208067196022874_856182577877996,1408706012757345
44,Preechaya Patarapuvadol เลิกรีวิว55555,366743047016721,208067196022874_856182577877996,356089891241820
45,Natawut Vivatjanasirin ป่าเถื่อนมากเลยเอ้ออ 5555555,366743047016721,208067196022874_856182577877996,10152972932132309
46,แดกทุกวัน ระวังด้วย ศิษย์พี่ ศิษย์น้อง Jumbo Multiplied Mamoorphotography Warit,366743047016721,208067196022874_856182577877996,835159963215198
47,Virun Mongkongsatargul hey you!,366743047016721,208067196022874_856182577877996,10204614762666858
48,Teerarin Ongfong Suttikornworarat. เวลาไปกินอะไรอย่ารีวิว 55555,366743047016721,208067196022874_856182577877996,1438794316368410
49,Lakfa Chutrakun เถื่อนจัด555,366743047016721,208067196022874_856182577877996,355761991246880
50,Jane,366743047016721,208067196022874_856182577877996,10154836520420537
51,Pongpun Bouphet,366743047016721,208067196022874_856182577877996,700393313413220
52,Shinnannu Jodobo เชื่อเถอะ,366743047016721,208067196022874_856182577877996,10152059364487397
53,Bamie Kesinee เอากันอย่างนี้เลย,366743047016721,208067196022874_856182577877996,962028630483418
54,Pimlapat Rattanakumnerd โมจะไม่ปากดี,366743047016721,208067196022874_856182577877996,355761991246880
55,Mook Saowarose กัว,366743047016721,208067196022874_856182577877996,10154528812160417
56,Kitthanate ChirawutthiphunNattawut THawornchaiNus ManatsvWoramon Prommusik chiaaaaaaaaa,366743047016721,208067196022874_856182577877996,825044244219606
57,Sasina Butsamalee ระวังนะ,366743047016721,208067196022874_856182577877996,664498510270632
58,หิน ฅนธนบุเรี่ยนกล้าป่าว,366743047016721,208067196022874_856182577877996,10152436785585689
59,Patharachai Inthanin,366743047016721,208067196022874_856182577877996,398202387006080
60,Apisit Phumsatitphong ระวัง,366743047016721,208067196022874_856182577877996,10152059364487397
61,Boom Chungcharoenpanich 555555,366743047016721,208067196022874_856182577877996,10203639036873359
62,MooMint Kunjira,366743047016721,208067196022874_856182577877996,1040470039301829
63,Sukrit Kolkich ใช่เต่ารึเปล่า,366743047016721,208067196022874_856182577877996,1033247266691485
64,Oakland Sans,366743047016721,208067196022874_856182577877996,10152922187716354
65,May Venezia,366743047016721,208067196022874_856182577877996,10203951970273981
66,Krinpat Watkaew,366743047016721,208067196022874_856182577877996,1004131226268277
67,Namaporn Waiyasara เอ็งระวัง,366743047016721,208067196022874_856182577877996,10153013320159132
68,Tativat Nakvichiean อห,366743047016721,208067196022874_856182577877996,1017125738314693
69,Pakritsada Klinchandaeng กลัวเด้อ,366743047016721,208067196022874_856182577877996,692575550809750
70,Artz Oloo,366743047016721,208067196022874_856182577877996,10152720849696312
71,Yip Som,366743047016721,208067196022874_856182577877996,10204510678583350
72,Boat Mazume,366743047016721,208067196022874_856182577877996,797766730234633
73,Thitiwat Laovanich,366743047016721,208067196022874_856182577877996,10202643467963434
74,Streetfoodofthailand,366743047016721,208067196022874_856182577877996,10153008539931554
75,ของเซเว่นครับ (บางอย่างนะที่อร่อย),366743047016721,208067196022874_848590148637239,757029450995927
76,JingJing Liang มีหมูให้ตรงหัวกับท้าย,366743047016721,208067196022874_845509998945254,10202910192916288
77,ช่วงนี้มึงขยันเหมือน มึงจะรีบๆโพส แล้วตะได้หายไปอีกปะวะ 5555,366743047016721,208067196022874_845509998945254,759598944099651
78,กินมะระยัดไส้มะระไหม Ying Wannipha 😅😅😅,366743047016721,208067196022874_845509998945254,1081567288525774
79,เคสนี้ใกล้เคียงกับขนมปังมึงอ่ะ Aekina Yimmie 🤣,366743047016721,208067196022874_845509998945254,10152160504841137
80,Ka Cha โคตร Inception มะระไส้หมูยัดไส้มะระ,366743047016721,208067196022874_845509998945254,812912638760118
81,ประหยัดหมู555,366743047016721,208067196022874_845509998945254,732413190174197
82,มะระ inception,366743047016721,208067196022874_845509998945254,746395368724606
83,คนชอบมะระก็ฟินไป แบบฮาๆ 555,366743047016721,208067196022874_845509998945254,861009153956879
84,เจอแบบนี้จะเอาไปเขวี้ยงใส่คนขายแม่ง....,366743047016721,208067196022874_845509998945254,838407899515570
85,"ลดต้นทุนแบบเหี้ยๆ

ทำเหี้ยๆแบบนี้ก็ได้เงินกุครั้งเดียวนะ อีควาย",366743047016721,208067196022874_845509998945254,485053704960389
86,เป็นเมนู​ที่สร้างสรรค์​มาก​ 55,366743047016721,208067196022874_845509998945254,389665297848626
87,เลวกว่า ถั่วฝักยาวในผัดกระเพราอีก 555,366743047016721,208067196022874_845509998945254,803662096363626
88,ยัดไส้ของจริง,366743047016721,208067196022874_845509998945254,645992038814912
89,แบบนี้ก้อได้เหรอ,366743047016721,208067196022874_845509998945254,918650778154896
90,มะระในมะระ,366743047016721,208067196022874_845509998945254,830838890311195
91,ช่างโหดร้าย,366743047016721,208067196022874_845509998945254,317864245292566
92,555555,366743047016721,208067196022874_845509998945254,907987949288869
93,Napon PonWannaporn Nimitnirundorn,366743047016721,208067196022874_845509998945254,857058301001367
94,Kaddess Ruksawong 'งงในงง,366743047016721,208067196022874_845509998945254,788470394532290
95,Tiranuj Amatayakul,366743047016721,208067196022874_845509998945254,10152760335873098
96,เคยเจอข้าวผัดหมูแบบนี้เลย แม่งแดกไม่หมด เหมือนแดกอ้วกกลิ่นซีอิ๊วดำ,366743047016721,208067196022874_844939405668980,10202853740079362
97,ว่าบาปเถอะ นี่คนนึงละที่ชอบข้าวแฉะๆแบบนี้มากก 😂😂,366743047016721,208067196022874_844939405668980,1007173245963688
98,ถ้าร้านตามสั่งหุงข้าวสวยได้แบบนี้ แนะนำเปิดเป็นร้านข้าวต้มเถอะค่ะ 😏,366743047016721,208067196022874_844939405668980,876755989002471
99,ผมชอบกินข้าวแฉะแบบนี้นะแดรกเพลินแดรกยับเลยแหละถ้าข้าวแข็งๆแห้งๆแบบตามร้านทั่วไปกลับไม่ชอบแหะ,366743047016721,208067196022874_844939405668980,639756806100890
100,"หุงข้าวก็ไม่ผ่านแล้ว
อย่าเปิดร้านอาหารเลย",366743047016721,208067196022874_844939405668980,10152303590591293
101,สูตรใหม่โจ๊กรสกระเพรา,366743047016721,208067196022874_844939405668980,1411815545805500
102,ปัญหาไม่ได้อยุ่ที่กระเพรานะ ปัญหาอยุ่ที่ข้าว,366743047016721,208067196022874_844939405668980,804388006273735
103,สุริ สุริกูชอบข้าวแบบนี้อะ,366743047016721,208067196022874_844939405668980,501169516700996
104,Nam Bjw,366743047016721,208067196022874_844939405668980,10153210526669407
105,ฟิวชั่น ข้าวต้ม+ผัดกระเพรา,366743047016721,208067196022874_844939405668980,10154842888365012
106,"เหมือนเอาข้าวต้มที่เอาน้ำออกมาทำข้าวสวย 
ดีที่ไม่สั่งข้าวผัด",366743047016721,208067196022874_844939405668980,10152094617608575
107,ขอสูตรหน่อยค่ะ,366743047016721,208067196022874_844939405668980,10203385955267546
108,ข้าวหมู สัส,366743047016721,208067196022874_844939405668980,10152565371914727
109,หุงข้าวได้ส้นตีนมากครับ,366743047016721,208067196022874_844939405668980,10204874336522196
110,เราชอบแบบนี้😁😁😁,366743047016721,208067196022874_844939405668980,847482441968498
