,comment_body,page_id,post_id,user_id
0,Thirdd Yookongsak,366743047016721,220711858140080_640305446180717,10152831176291265
1,อยู่ยุโรปไม่กินหมูค่ะ 5555,366743047016721,220711858140080_640305446180717,370706013091631
2,หมูเมกาเหม็นจริงๆ ซื้อจากซุปเปอร์ทั่วๆไปแทบไม่อยากกิน ถ้าอยากกินหมูต้องไปร้านคนจีนหรือซุปเปอร์มาร์เก็ตคนเอเซีย,366743047016721,220711858140080_640305446180717,778324738857550
3,ที่ญี่ปุ่นน้าทำร้านอาหารที่นั่นแกก็บอกว่าหมูส่วนมากจะมีกลิ่นสาปเหมือนกัน  เอามาผัดแบบบ้านเรากินไม่ได้  ต้องทำกินแบบใส่ซีอิ๊วเยอะๆต้มนานๆไรงั้นมากกว่า,366743047016721,220711858140080_640305446180717,865756833453457
4,เดี๋ยวนะ แล้วแฮมสเปนทำไมไม่เหม็นวะ แซ่บจะตาย หรือเพราะมันหมัก,366743047016721,220711858140080_640305446180717,10204082638280047
5,ตอนอยู่เยอรมันกินหมูได้ปกติ,366743047016721,220711858140080_640305446180717,10203250097546446
6,Bo Srikulsasithorn,366743047016721,220711858140080_640305446180717,902976176389022
7,ถิรตรัย มาละใจThanarachun SoongtiwongKor LabradorPattarin Tamanoบรรพต มามิ่ง,366743047016721,220711858140080_640305446180717,313348638869847
8,Thames Chonnawee,366743047016721,220711858140080_640305446180717,10152729613281639
9,ที่ NYC นะคะ หมูเหม็นค่ะ ฝรั่งก้ไม่นิยมกิน บางร้านไม่มีเนื้อหมูเลย ถ้ามีก้เลี่ยงเป็น grilled pork chop ไปเลย แต่เค้าจะไม่เอาเนื้อมาใส่อาหาร  ร้านที่เอาเนื้อหมูมาทำก้มีแต่ก้ไม่เป็นที่นิยม บางร้านหมักหมูให้นุ่มก่อนและหอม ๆ น้ำมันหอยอันนี้ลูกค้าจะสั่งบ่อยกว่า,366743047016721,220711858140080_640305446180717,965336873494642
10,ฝรั่งส่วนใหญ่จะไม่นิยมทานเนื้อหมูนะครับ เค้าจะทานแต่เนื้อวัว เนื้อแกะ และเนื้อแกะมากกว่า,366743047016721,220711858140080_640305446180717,1004357829592963
11,แล้วพวกแฮมเบคอนล่ะคะ มีกลิ่นไหม หรือมันผ่านกระบวนการมาแล้ว เลยไม่มี,366743047016721,220711858140080_640305446180717,713359825396224
12,ohh เปิดโลกมากๆ Chanakarn Nasamran,366743047016721,220711858140080_640305446180717,10204092000724767
13,เดี๋ยวนะ นี่เท่ากับว่าเราไปจ่ายตังใก้เขาเพื่อกำจัดขยะสิเนี่ย ไม่ได้รับส่วนที่คนกินด้วยซ้ำ,366743047016721,220711858140080_640305446180717,10204181918580558
14,DenOho กินมังสวิรัติวนไป,366743047016721,220711858140080_640305446180717,10203804794854728
15,"เกี่ยวกับ animal welfare.. ด้วย
ที่ไม่ตอน
ตอนนี้มีบริษัท​ผลิตวัคซีนดับกลิ่นตัวผู้ด้วย ไม่รุผลเปนไงมั่ง",366743047016721,220711858140080_640305446180717,818633938164574
16,ธีรภัทร วิชชุเธียรโสภณ,366743047016721,220711858140080_640305446180717,1361352250542558
17,Krit Suriyasirikun,366743047016721,220711858140080_640305446180717,795403190505540
