,comment_body,page_id,post_id,user_id
0,กินเจลดไม่เยอะหรอก ลองงดตรุษจีนกะเชงเม้งดิ่ ลดการฆ่าเยอะกว่ากินเจอีก,366743047016721,551268918372423_882695395229772,963766363633898
1,ไม่ครับ เพื่อนบอกว่าต้องผลิตเพิ่มช่วงเจเพื่อตอนออกเจจะได้ขายให้พวกกินเจให้เพียงพอ ทุกปี,366743047016721,551268918372423_882695395229772,4474398875972
2,กูหาคำบรรยายที่รูปกุ้งไม่เจอวะ,366743047016721,551268918372423_882637748568870,645559075561126
3,โลนึงหั่นเสต็กได้กี่ชิ้นอ่ะ,366743047016721,551268918372423_882637748568870,10152562675613071
4,แอดเจย์ตัวปลอม ถ้าตัวจริงต้องซื้อในราคาแพงกว่าชาวบ้านสามเท่า!!!,366743047016721,551268918372423_882637748568870,1048801985130120
5,Sasithorn BellBerry Chaiwiwat เนื้อ! จุ้ง!! ตลาด อตก. !!!,366743047016721,551268918372423_882637748568870,838134019571006
6,Homme Hommetfc,366743047016721,551268918372423_881579165341395,10152793581018423
7,"อาหารแบบนี้มันต้องกินแถวอีสานว่ะ
อุดร หนองคาย อุบล นี่อร่อยๆหลายร้านเลย",366743047016721,551268918372423_878024919030153,806550512724061
8,"Chamnansin Chaiburi
Kan Trangansri",366743047016721,551268918372423_878024919030153,10203207662544399
9,ดูดี มีสาระ,366743047016721,551268918372423_877369145762397,1048801985130120
10,ใช่ แค่ไส้กรอกที่ขายก็กำไรเละเทะแล้ว เอารายได้มาคืนคนกินด้วยผักกับซอสฟรีบ้างท่านเจ้าสัว ขี้งก,366743047016721,551268918372423_877040772461901,714891648586817
11,มันไม่สะอาดอ่ะเปิดไปเปิดมา,366743047016721,551268918372423_877040772461901,10152562675613071
12,เอาด้วย มะก่อนเลิกเรียนค่ำๆ แวะ 7 ซื้อฟุตลอง ใส่ผัก มะเขือ แตงกวา ซ้อสมะเขือเทศ มัสแตส มาลองเยส ฟินมากๆ,366743047016721,551268918372423_877040772461901,10152430798884107
13,แฟมิลี่มาร์ท สาขาหัวหิน แถวๆซอย50 ครับ,366743047016721,551268918372423_877040772461901,10204508156717197
14,5555 เรียกร้องให้ตายเขาก็ไม่เอากลับมา ของฟรีตักกันอย่างกับห่าลง วันนึงเสียตังค์ไปกับค่าผักเท่าไหร่ ถุง 10 กิโลถุงเดียวไม่พออ่ะ แถมไม่ช่วยรักษาความสะอาด หกเรี่ยราดเลอะเทอะ คนไทยสำนึกสาธารณะยังน้อย ยังไม่เหมาะกับอะไรแบบนี้,366743047016721,551268918372423_877040772461901,697642493630722
15,Vip Vichitsonggram,366743047016721,551268918372423_877040772461901,10154850114370654
16,55555555 Tudtu Siree Naim,366743047016721,551268918372423_877040772461901,10152861101079703
17,เอามัสตาร์ดคืนมาด้วย,366743047016721,551268918372423_877040772461901,116261815374411
18,ถึงจะมีผัก แต่พวกเบอเกอใส่ถุงพลาสติกตัดแล้วอุ่น จะแหกปากถุงแล้วเอาผักวางบนไส้เบอเกอก็แสนยาก อดกินผักต่อไป,366743047016721,551268918372423_877040772461901,10203446802187256
19,มันก็หายไปเป็นสิบปีแล้วนะ ทำ ไมพึ่งอยากให้กลับมา,366743047016721,551268918372423_877040772461901,1173580146005040
20,เดียวนี่ใส้กรอกยังมีแต่แพคถุงเลย,366743047016721,551268918372423_877040772461901,10205402972863571
21,นานจนลืมว่าเคยมี,366743047016721,551268918372423_877040772461901,875951495758678
22,"น่าจะเป็นเพราะการเตรียมวัตถุดิบที่ยุ่งยากด้วยมั้งนะ เราเคยทำเซเว่น คือผักแต่ละอย่างกว่าจะทำได้ขั้นตอนเยอะอยู่นะ ผักกาดหอมต้องล้าง สะเด็ดน้ำ พับครึ่งหั่นก้านออก ซอยพอดีๆ
มะเขือเทศ ล้าง หั่นซอยเเว่นๆ เรียงแบบสวยๆอ่ะนะ เล่นเอาเหงื่ิอตก แตงกว่า ปอกเปลือก ล้างน้ำ ขูดให้เปลือกเป็นแฉกๆ ซอยแว่นสวยๆ โอ้ยย เยอะ ใหนจะหอยใหญ่ กว่าจะปอกเปลือก หั่นเต๋า เล่นเอาน้ำตาไหลพรากๆ 😹😹",366743047016721,551268918372423_877040772461901,172003703170199
23,บางคนเหมือนจะเอากลับไปผัดแดกต่อนะ,366743047016721,551268918372423_877040772461901,157354504770766
24,กราบน้ำใจครับ,366743047016721,551268918372423_875697922596186,156744648134708
25,"ขอให้เจ็กสุขภาพแข็งแรงมีความ
สุขนะครับ",366743047016721,551268918372423_875697922596186,142397709690007
26,สาธุค่ะ,366743047016721,551268918372423_875697922596186,962775443734091
27,รสชาตทั่วไปอะแต่แม่ค้าน่ารัก5555,366743047016721,551268918372423_875664022599576,1649522328701150
28,แถวบ้านเราก็แจกหลายร้านเลยวันนี้ เดินไปน้ำตาไหลไปอ่ะ,366743047016721,551268918372423_875664022599576,831019596939868
29,และเราจะทำดีค่ะแอด,366743047016721,551268918372423_875520309280614,338198859706071
30,โครถูกอ่า อยากให้แถวหอมีมั่งจัง,366743047016721,551268918372423_875510175948294,871152456244869
31,สาขาไหนกัน,366743047016721,551268918372423_875510175948294,594634587304680
32,ดูน่ากินกว่าอีกเจ้าคือแม็กแวลู่,366743047016721,551268918372423_875510175948294,722709141141976
33,อู้วว Salinee Chiewpaiboonsakul,366743047016721,551268918372423_875510175948294,10152915681304122
34,ละพึ่งมาบอกกกก,366743047016721,551268918372423_875510175948294,458516050991931
35,หื้มมม,366743047016721,551268918372423_875510175948294,138684986655886
36,ชอบไปแม็คแวลูหลัง 2 ทุ่มเหมือนกัน ลดเยอะและหลากหลาย ยิ่งหลัง4 ทุ่ม มีลด 50% อิอิ,366743047016721,551268918372423_875510175948294,579622448815279
37,ไพรินทร์ พุ่มสุวรรณNootan Pumsuwan,366743047016721,551268918372423_875510175948294,572027269600211
38,หมูทง...,366743047016721,551268918372423_875510175948294,1030903716923663
39,สาขานี้ถูกกว่าแถวบ้านเราอีกแอด เสกสรร กาญจนรัตน์ มาดูดิ,366743047016721,551268918372423_875510175948294,406773686170176
40,Sp Bjtpn,366743047016721,551268918372423_875510175948294,713248265439852
41,ฝากซื้อ ส่งไปรณีย์ให้ทีคะแอด,366743047016721,551268918372423_875510175948294,10152728544263894
42,แอดนำเสนอสิ่งดีๆชอบๆค่ะ,366743047016721,551268918372423_875510175948294,338198859706071
43,จริงดิ งั้นสองทุ่มต้องลอง,366743047016721,551268918372423_875510175948294,863808183633460
44,Nattawut Mantumma,366743047016721,551268918372423_875510175948294,787757554621342
45,รสชาติล่ะแอด?,366743047016721,551268918372423_875510175948294,10152818050549831
46,Rainny Kanyapat,366743047016721,551268918372423_875510175948294,674551495932490
47,อร่อยใช้ได้ไม่หวานมาก,366743047016721,551268918372423_875371472628831,773035856078049
48,Bow Kachanan,366743047016721,551268918372423_875371472628831,909824389046625
49,ทานคู่กันอร่อยแท้เหลา,366743047016721,551268918372423_875348239297821,790820244321532
50,Pratthana Prawong จิงจิ,366743047016721,551268918372423_875348239297821,336413466528772
51,เปรี้ยวมาเชียว,366743047016721,551268918372423_875348239297821,10202772163718466
52,Narintron Sakunmayurasit,366743047016721,551268918372423_875348239297821,837896546228497
53,B!!,366743047016721,551268918372423_872783046221007,422161221266489
54,BBBbboooooooo.................,366743047016721,551268918372423_872783046221007,681689855236705
55,,366743047016721,551268918372423_872429486256363,551268918372423
56,คิดได้,366743047016721,551268918372423_871881199644525,1532510290350408
57,จ่ายแพงกว่าได้ไปสวรรค์ 😁,366743047016721,551268918372423_871881199644525,244039696079813
58,แอดเสียใจด้วย น้องมาแค่วันเปิดร้าน วันหลังเจอป้าน้องแทน,366743047016721,551268918372423_871867776312534,790820244321532
59,หยุน ยี้ Chatchanat Sripadung ชัดๆอีกรอบ,366743047016721,551268918372423_871867776312534,10203488603069538
